S_Year,S_Month,S_DAY,S_Hour,P_MAX,P_MIN,P_AVG,YL_MAX
2017,11,9,0,5.1,3.5,3.6757572727272727,2.9902299999994284
2017,11,9,1,6.0,3.5,4.3672225000000005,3.9785200000005716
2017,11,9,2,6.0,4.4,4.680555833333333,4.169920000000275
2017,11,9,3,6.0,4.4,4.636805833333333,4.169920000000275
2017,11,9,4,6.4,4.4,4.586110833333333,4.310549999998329
2017,11,9,5,6.0,4.4,4.633333333333332,4.298829999999725
2017,11,9,6,5.9,3.5,3.9138891666666673,3.429680000001099
2017,11,9,7,5.5,3.4,3.689583333333333,3.31054000000222
2017,11,9,8,19.5,3.4,8.631944166666665,7.880860000001121
2017,11,9,9,18.4,14.8,16.276011666666665,14.75
2017,11,9,10,18.3,14.4,15.569166666666668,14.068360000001121
2017,11,9,11,18.5,12.8,15.345219166666665,13.859380000001693
2017,11,9,12,17.0,11.5,13.007499999999999,11.869139999998879
2017,11,9,13,16.4,11.3,13.754305833333333,12.990239999999176
2017,11,9,14,16.9,12.5,14.938809166666667,14.019530000001396
2017,11,9,15,18.5,13.4,15.885634999999999,14.91015999999945
2017,11,9,16,18.7,13.6,15.666388333333332,14.699220000002242
2017,11,9,17,16.4,7.3,10.421111666666667,9.58984000000055
2017,11,9,18,11.0,5.0,8.059444166666667,7.539059999999154
2017,11,9,19,6.5,3.6,3.9090909090909096,3.619139999998879
2017,11,9,20,4.9,3.1,3.38625,3.179680000001099
2017,11,9,21,4.9,3.3,3.4696972727272724,3.2089799999994284
2017,11,9,22,4.9,3.3,3.4909090909090907,3.210929999997461
2017,11,9,23,4.7,3.2,3.40625,3.130860000001121
2017,11,10,0,5.6,3.2,4.212500000000001,3.9609400000008463
2017,11,10,1,5.7,4.1,4.2944441666666675,4.0
2017,11,10,2,6.0,3.2,4.256944166666666,3.8710900000005495
2017,11,10,3,6.0,4.4,4.569697272727272,4.121100000000297
2017,11,10,4,6.0,4.4,4.545454545454546,4.130860000001121
2017,11,10,5,5.8,4.0,4.343055833333334,3.919930000000022
2017,11,10,6,5.7,3.2,3.856666666666667,3.650389999998879
2017,11,10,7,5.0,3.3,3.559861666666666,3.349609999997483
2017,11,10,8,10.4,3.6,6.504525,6.019530000001396
2017,11,10,9,16.2,9.3,13.374027499999999,12.730469999998604
2017,11,10,10,14.3,11.8,12.632916666666667,11.769529999997758
2017,11,10,11,13.8,11.0,12.284305833333335,11.490239999999176
2017,11,10,12,14.3,11.1,12.516666666666666,11.708989999999176
2017,11,10,13,15.1,10.3,12.551250833333333,11.78125
2017,11,10,14,19.2,13.1,15.740277499999998,14.789069999998901
2017,11,10,15,18.6,15.2,16.291111666666666,15.310539999998582
2017,11,10,16,17.7,10.9,13.499583333333334,12.160149999999703
2017,11,10,17,12.6,5.8,9.8622225,9.068360000001121
2017,11,10,18,7.3,3.5,4.741805833333333,4.349610000001121
2017,11,10,19,5.1,3.5,3.5444441666666666,3.3398400000005495
2017,11,10,20,5.1,3.3,4.034721666666667,3.6113299999997253
2017,11,10,21,5.0,3.4,4.759027499999999,4.359379999998055
2017,11,10,22,5.0,3.3,3.5725,3.230469999998604
2017,11,10,23,5.0,3.3,3.502083333333333,3.2089799999994284
2017,11,11,0,4.8,3.3,3.508333333333333,3.210930000001099
2017,11,11,1,5.7,3.3,4.254166666666667,4.048819999999978
2017,11,11,2,5.7,4.2,4.304166666666668,4.039069999998901
2017,11,11,3,5.7,4.2,4.366666666666668,4.050790000001143
2017,11,11,4,5.7,4.2,4.450000000000001,4.050780000001396
2017,11,11,5,5.7,4.1,4.2809725,4.02929000000222
2017,11,11,6,4.8,3.3,3.5208333333333326,3.150389999998879
2017,11,11,7,4.9,3.3,3.430555833333333,3.1484400000008463
2017,11,11,8,6.7,3.3,3.5934716666666673,3.1601599999994505
2017,11,11,9,8.4,6.5,7.0301383333333325,6.400389999998879
2017,11,11,10,8.4,6.8,7.0354175,6.378899999999703
2017,11,11,11,8.5,6.8,7.104027500000001,6.410149999999703
2017,11,11,12,9.0,5.4,6.434999166666667,5.77929000000222
2017,11,11,13,7.1,5.4,5.6577375000000005,5.1210900000005495
2017,11,11,14,9.6,5.5,7.773610833333333,7.1601599999994505
2017,11,11,15,9.2,5.6,6.312638333333332,5.609380000001693
2017,11,11,16,7.6,5.6,5.975000000000001,5.609380000001693
2017,11,11,17,7.6,3.4,5.143749166666666,4.8085900000005495
2017,11,11,18,5.4,3.4,3.8124999999999996,3.6093800000016927
2017,11,11,19,5.0,3.3,3.4656941666666667,3.3085900000005495
2017,11,11,20,4.9,3.3,3.5,3.25
2017,11,11,21,4.9,3.3,3.441944166666666,3.2597700000005716
2017,11,11,22,5.8,3.3,4.190694166666666,4.0
2017,11,11,23,5.6,4.1,4.2472225,4.021479999999428
2017,11,12,0,5.7,4.1,4.233333333333333,4.009769999996934
2017,11,12,1,5.7,4.1,4.3465275000000005,3.8906199999983073
2017,11,12,2,5.7,4.1,4.257575454545455,3.8789099999994505
2017,11,12,3,5.7,4.1,4.366666666666667,3.880860000001121
2017,11,12,4,5.7,4.1,4.281818181818182,3.8789099999994505
2017,11,12,5,5.7,4.1,4.330302727272727,3.8710900000005495
2017,11,12,6,5.7,3.2,3.6012500000000003,3.3085900000005495
2017,11,12,7,4.9,3.2,3.4522727272727276,3.099610000001121
2017,11,12,8,4.9,3.2,3.5196972727272726,3.1093700000019453
2017,11,12,9,5.2,3.3,3.4193936363636364,3.1484400000008463
2017,11,12,10,5.2,3.3,3.5287881818181814,3.2206999999980326
2017,11,12,11,4.9,3.3,3.399999999999999,3.230469999998604
2017,11,12,12,7.5,3.3,4.791110833333334,4.490239999999176
2017,11,12,13,7.3,5.5,6.9713883333333335,6.619139999998879
2017,11,12,14,7.4,3.3,4.579166666666667,4.220699999998033
2017,11,12,15,4.9,3.3,3.477778333333333,3.2402299999994284
2017,11,12,16,5.0,3.3,3.5138891666666656,3.279289999998582
2017,11,12,17,5.0,3.4,3.555555833333333,3.2011700000002747
2017,11,12,18,5.0,3.4,3.5999999999999996,3.230459999998857
2017,11,12,19,5.0,3.4,3.5045824999999997,3.25
2017,11,12,20,4.9,3.3,3.396666666666667,3.160149999999703
2017,11,12,21,4.9,3.3,3.436666666666666,3.0898400000005495
2017,11,12,22,5.8,3.2,3.642559166666667,3.271489999999176
2017,11,12,23,5.6,4.0,4.236666666666667,3.949219999998604
2017,11,13,0,5.6,4.1,4.2041666666666675,3.978510000000824
2017,11,13,1,5.7,4.1,4.289583333333334,4.029299999998329
2017,11,13,2,5.7,4.1,4.259027500000001,3.9706999999980326
2017,11,13,3,5.6,3.1,4.2458333333333345,3.931639999998879
2017,11,13,4,5.6,4.1,4.3083333333333345,3.990239999999176
2017,11,13,5,5.6,4.0,4.1241666666666665,3.9296900000008463
2017,11,13,6,4.8,3.1,3.4776391666666675,3.21875
2017,11,13,7,5.1,3.2,3.538333333333334,3.3398399999969115
2017,11,13,8,15.6,3.6,8.727638333333333,8.419920000000275
2017,11,13,9,15.6,11.1,13.291170833333334,11.958979999999428
2017,11,13,10,18.2,12.9,16.241308333333333,14.810539999998582
2017,11,13,11,17.2,14.6,15.243333333333334,13.720710000001418
