S_Year,S_Month,S_DAY,S_Hour,P_MAX,P_MIN,P_AVG,YL_MAX
2017,11,9,0,6.2,4.6,4.818636363636364,4.070309999999154
2017,11,9,1,6.3,4.6,4.856389999999999,4.53125
2017,11,9,2,6.2,4.6,4.775665833333334,4.568360000001121
2017,11,9,3,6.2,4.6,4.774543333333333,4.52929000000222
2017,11,9,4,6.0,4.6,4.742360833333334,4.521479999999428
2017,11,9,5,6.0,4.6,4.8875,4.339850000000297
2017,11,9,6,6.0,4.6,4.836111666666667,4.339850000000297
2017,11,9,7,6.2,4.6,4.856705833333334,4.390629999998055
2017,11,9,8,6.3,4.4,4.934245833333333,4.458979999999428
2017,11,9,9,6.3,4.6,4.953194166666667,4.5
2017,11,9,10,6.3,4.7,5.048969166666667,4.619150000002264
2017,11,9,11,6.8,4.7,5.166040833333334,4.669920000000275
2017,11,9,12,6.7,4.5,5.165079166666667,4.6601599999994505
2017,11,9,13,6.8,4.7,5.2392458333333325,4.888680000000022
2017,11,9,14,6.6,4.7,5.120585,4.9101599999994505
2017,11,9,15,6.7,4.7,5.1553575,4.830079999999725
2017,11,9,16,6.6,4.7,5.0229175,4.789069999998901
2017,11,9,17,6.6,4.6,4.928889166666667,4.75
2017,11,9,18,6.3,4.6,4.893829166666666,4.628899999999703
2017,11,9,19,6.4,4.6,4.904365,4.599610000001121
2017,11,9,20,6.3,4.6,4.867758333333334,4.611329999999725
2017,11,9,21,6.4,4.5,4.9616275000000005,4.589850000000297
2017,11,9,22,6.4,4.6,4.9785416666666675,4.720700000001671
2017,11,9,23,6.2,4.6,5.025454545454546,4.628899999999703
2017,11,10,0,6.4,4.7,4.946527500000001,4.6210900000005495
2017,11,10,1,6.3,4.7,4.916389166666668,4.601559999999154
2017,11,10,2,6.2,4.7,4.901110833333335,4.4101599999994505
2017,11,10,3,6.2,4.7,4.8118058333333344,4.330079999999725
2017,11,10,4,6.2,4.6,4.8541675,4.359370000001945
2017,11,10,5,6.1,4.6,4.705753333333333,4.3085900000005495
2017,11,10,6,6.1,4.6,4.764465,4.490240000002814
2017,11,10,7,6.1,4.6,4.780774166666666,4.529289999998582
2017,11,10,8,6.2,4.6,4.868471666666667,4.599610000001121
2017,11,10,9,6.3,4.6,4.9558333333333335,4.701180000000022
2017,11,10,10,6.7,4.7,5.124345,4.740239999999176
2017,11,10,11,6.5,4.6,5.058928333333333,4.759759999997186
2017,11,10,12,6.6,4.7,5.129206666666667,4.849609999997483
2017,11,10,13,6.8,4.5,5.072360833333334,4.769529999997758
2017,11,10,14,6.5,4.6,5.024860833333333,4.71875
2017,11,10,15,6.4,4.6,5.007003333333333,4.769530000001396
2017,11,10,16,6.5,4.6,5.007856666666667,4.550780000001396
2017,11,10,17,6.3,4.6,4.9213691666666675,4.46875
2017,11,10,18,6.2,4.5,4.7460716666666665,4.320309999999154
2017,11,10,19,6.1,4.5,4.817500833333334,4.308600000000297
2017,11,10,20,6.0,4.5,4.690675,4.279300000001967
2017,11,10,21,6.1,4.5,4.727241666666666,4.271479999999428
2017,11,10,22,6.3,4.5,4.748729999999999,4.46875
2017,11,10,23,5.9,4.5,4.667738333333334,4.400390000002517
2017,11,11,0,5.9,4.6,4.667361666666667,4.400389999998879
2017,11,11,1,5.9,4.6,4.6694441666666675,4.369150000002264
2017,11,11,2,5.8,4.6,4.625000000000001,4.359379999998055
2017,11,11,3,5.8,4.6,4.653333333333334,4.3789099999994505
2017,11,11,4,5.8,4.6,4.6277775000000005,4.3398400000005495
2017,11,11,5,5.8,4.5,4.5790875,4.3398400000005495
2017,11,11,6,5.8,4.5,4.573888333333333,4.3085900000005495
2017,11,11,7,5.9,4.5,4.621528333333335,4.201170000000275
2017,11,11,8,6.3,4.5,4.839682499999999,4.359380000001693
2017,11,11,9,6.1,4.6,4.875595,4.419930000000022
2017,11,11,10,6.5,4.6,5.003193333333333,4.46875
2017,11,11,11,6.2,4.6,5.002360833333334,4.490229999999428
2017,11,11,12,6.5,4.6,5.008155,4.570309999999154
2017,11,11,13,6.3,4.6,4.992083333333333,4.558600000000297
2017,11,11,14,6.3,4.6,4.971666666666668,4.5
2017,11,11,15,6.6,4.6,4.931745833333333,4.519529999997758
2017,11,11,16,6.2,4.6,4.9194441666666675,4.640630000001693
2017,11,11,17,6.3,4.6,4.900931666666666,4.580079999999725
2017,11,11,18,6.2,4.6,4.7946824999999995,4.509770000000572
2017,11,11,19,6.2,4.6,4.788967499999999,4.521489999999176
2017,11,11,20,6.2,4.6,4.777500000000001,4.519530000001396
2017,11,11,21,6.3,4.6,4.7925,4.511709999998857
2017,11,11,22,6.2,4.6,4.777916666666667,4.5
2017,11,11,23,6.1,4.6,4.730734166666666,4.490229999999428
2017,11,12,0,6.2,4.6,4.748868333333333,4.47070999999778
2017,11,12,1,6.0,4.6,4.722290833333333,4.291010000000824
2017,11,12,2,6.0,4.6,4.7155949999999995,4.298829999999725
2017,11,12,3,5.9,4.6,4.694365,4.259760000000824
2017,11,12,4,5.9,4.6,4.653849166666666,4.259769999996934
2017,11,12,5,5.9,4.6,4.6790275,4.279300000001967
2017,11,12,6,5.9,4.6,4.6639083333333335,4.228520000000572
2017,11,12,7,6.0,4.6,4.70375,4.271479999999428
2017,11,12,8,6.1,4.5,4.826984166666667,4.3789099999994505
2017,11,12,9,6.2,4.5,4.8687499999999995,4.400390000002517
2017,11,12,10,6.3,4.6,4.951041666666668,4.509760000000824
2017,11,12,11,6.5,4.6,5.017315,4.570309999999154
2017,11,12,12,6.6,4.6,5.142125833333333,4.609369999998307
2017,11,12,13,6.3,4.6,4.926667500000001,4.519540000001143
2017,11,12,14,6.5,4.6,4.981825833333333,4.490230000003066
2017,11,12,15,6.4,4.6,4.915039166666667,4.46875
2017,11,12,16,6.2,4.6,4.807906666666668,4.480469999998604
2017,11,12,17,6.2,4.6,4.8132141666666675,4.380860000001121
2017,11,12,18,6.3,4.5,4.808750000000001,4.339850000000297
2017,11,12,19,6.2,4.5,4.7579166666666675,4.320309999999154
2017,11,12,20,6.2,4.6,4.786389166666666,4.351559999999154
2017,11,12,21,6.2,4.5,4.822381666666666,4.339850000000297
2017,11,12,22,6.2,4.6,4.814146666666667,4.53125
2017,11,12,23,6.3,4.6,4.831855833333333,4.529299999998329
2017,11,13,0,6.1,4.6,4.7321791666666675,4.480469999998604
2017,11,13,1,6.0,4.6,4.7316666666666665,4.460940000000846
2017,11,13,2,6.0,4.6,4.766775833333333,4.449220000002242
2017,11,13,3,6.0,4.6,4.7784325,4.470699999998033
2017,11,13,4,6.0,4.6,4.723195,4.4414099999994505
2017,11,13,5,6.0,4.6,4.723333333333334,4.431639999998879
2017,11,13,6,6.1,4.6,4.753889166666666,4.460940000000846
2017,11,13,7,6.1,4.6,4.715555833333334,4.470699999998033
2017,11,13,8,6.5,4.5,4.912460833333333,4.619139999998879
2017,11,13,9,6.3,4.6,4.818055833333333,4.400389999998879
2017,11,13,10,6.4,4.6,4.89123,4.488280000001396
2017,11,13,11,6.3,4.6,4.886290000000001,4.5
2017,11,13,12,6.6,4.6,5.114137500000001,4.580079999999725
2017,11,13,13,6.6,4.6,5.007739166666666,4.5898400000005495
2017,11,13,14,6.5,4.6,4.981268333333334,4.470700000001671
2017,11,13,15,6.4,4.6,4.9797225,4.460940000000846
2017,11,13,16,6.5,4.5,4.884820833333333,4.390629999998055
2017,11,13,17,6.5,4.6,4.828680000000001,4.400389999998879
2017,11,13,18,6.2,4.6,4.775476666666667,4.349610000001121
2017,11,13,19,6.2,4.6,4.694027500000001,4.261719999998604
2017,11,13,20,6.3,4.6,4.723055,4.460940000000846
2017,11,13,21,6.1,4.5,4.710416666666666,4.419920000000275
2017,11,13,22,6.2,4.6,4.772047499999999,4.519530000001396
2017,11,13,23,6.0,4.6,4.7497625,4.429690000000846
2017,11,14,0,5.9,4.6,4.685833333333333,4.419920000000275
2017,11,14,1,5.9,4.6,4.639385,4.4101599999994505
2017,11,14,2,6.0,4.6,4.702499166666667,4.419920000000275
2017,11,14,3,5.9,4.6,4.654166666666668,4.390620000001945
2017,11,14,4,5.9,4.6,4.697221666666667,4.3789099999994505
2017,11,14,5,5.9,4.6,4.688194166666667,4.378899999999703
2017,11,14,6,4.7,4.5,4.60625,4.341789999998582
2017,11,14,7,4.8,4.6,4.652490833333333,4.390620000001945
2017,11,14,8,6.0,4.6,4.782063333333333,4.330079999999725
2017,11,14,9,6.2,4.7,4.887836666666666,4.550780000001396
2017,11,14,10,6.2,4.7,4.940874166666666,4.640619999998307
2017,11,14,11,6.2,4.6,4.933055833333333,4.650389999998879
2017,11,14,12,6.4,4.7,5.0528975,4.779300000001967
2017,11,14,13,6.3,4.6,4.9397425,4.568360000001121
2017,11,14,14,6.3,4.7,4.9619341666666665,4.691399999999703
2017,11,14,15,6.2,4.6,4.918055833333334,4.509770000000572
2017,11,14,16,6.2,4.6,4.808055,4.429690000000846
2017,11,14,17,6.4,4.6,4.848194166666667,4.43945999999778
2017,11,14,18,6.2,4.5,4.696666666666666,4.289069999998901
2017,11,14,19,6.1,4.5,4.62498,4.210930000001099
2017,11,14,20,6.2,4.5,4.614096666666667,4.201170000000275
2017,11,14,21,6.0,4.5,4.62748,4.179690000000846
2017,11,14,22,6.0,4.5,4.665575,4.259759999997186
2017,11,14,23,5.9,4.5,4.647846666666667,4.240229999999428
2017,11,15,0,5.9,4.6,4.6340275,4.240230000003066
2017,11,15,1,5.9,4.6,4.6577383333333335,4.210930000001099
2017,11,15,2,4.7,4.6,4.602777500000001,4.179680000001099
2017,11,15,3,4.8,4.6,4.61875,4.189460000001418
2017,11,15,4,4.6,4.6,4.6000000000000005,4.181639999998879
2017,11,15,5,5.8,4.6,4.640000000000001,4.210929999997461
2017,11,15,6,4.7,4.5,4.586250000000001,4.169920000000275
2017,11,15,7,4.8,4.6,4.639424999999999,4.220699999998033
2017,11,15,8,6.3,4.6,4.737122500000001,4.320310000002792
2017,11,15,9,6.1,4.6,4.846330000000001,4.3789099999994505
2017,11,15,10,6.2,4.6,4.877718333333333,4.550780000001396
2017,11,15,11,6.2,4.5,4.805695,4.458990000002814
2017,11,15,12,6.2,4.7,4.9750000000000005,1.0097700000005716
2017,11,15,15,6.5,4.7,5.052223333333333,0.8788999999997031
2017,11,15,16,6.3,4.7,4.935317500000001,4.669920000000275
2017,11,15,17,6.2,4.7,4.8224599999999995,4.4101599999994505
2017,11,15,18,6.4,4.6,4.766964166666667,4.369139999998879
2017,11,15,19,6.1,4.6,4.693135000000001,4.28125
2017,11,15,20,6.1,4.6,4.686964166666666,4.259760000000824
2017,11,15,21,6.1,4.6,4.688015833333334,4.259760000000824
2017,11,15,22,6.1,4.6,4.793828333333334,4.390620000001945
2017,11,15,23,6.0,4.7,4.753591666666668,4.328130000001693
2017,11,16,0,6.1,4.7,4.793333333333334,4.361329999999725
2017,11,16,1,4.8,4.7,4.723988333333334,4.310550000001967
2017,11,16,2,4.9,4.7,4.709444166666668,4.289069999998901
2017,11,16,3,5.2,4.7,4.713194166666668,4.291009999997186
2017,11,16,4,4.8,4.7,4.703333333333335,4.28125
2017,11,16,5,4.8,4.7,4.7041666666666675,4.259760000000824
2017,11,16,6,4.8,4.6,4.638413333333333,4.230459999998857
2017,11,16,7,4.9,4.6,4.6662099999999995,4.25
2017,11,16,8,5.9,4.6,4.737003333333335,4.330080000003363
2017,11,16,9,6.1,4.4,4.805933333333333,4.3398400000005495
2017,11,16,10,6.3,4.4,4.8722224999999995,4.43945999999778
2017,11,16,11,6.4,4.6,4.952838333333333,4.671869999998307
2017,11,16,12,6.5,4.6,5.029603333333333,4.720710000001418
2017,11,16,13,6.4,4.6,4.9529375,4.669920000000275
2017,11,16,14,6.4,4.6,4.999404999999999,4.679690000000846
2017,11,16,15,6.5,4.6,4.927163333333334,4.669920000000275
