S_Year,S_Month,S_DAY,S_Hour,P_MAX,P_MIN,P_AVG,YL_MAX
2017,11,9,0,7.2,5.4,6.1481818181818175,5.234369999991031
2017,11,9,1,7.2,5.4,5.853750000000001,5.664060000010068
2017,11,9,2,6.0,5.4,5.9375,5.703120000005583
2017,11,9,3,8.1,5.4,6.0375000000000005,5.773439999989932
2017,11,9,4,6.0,5.7,5.954166666666667,5.4375
2017,11,9,5,7.2,5.4,5.9075,5.421879999994417
2017,11,9,6,7.2,5.4,5.905000000000001,5.445309999995516
2017,11,9,7,15.3,5.7,9.195,8.546869999991031
2017,11,9,8,25.8,11.7,18.56,17.117190000004484
2017,11,9,9,26.1,19.5,21.968929166666666,19.867190000004484
2017,11,9,10,27.6,19.8,21.438601666666667,19.367189999989932
2017,11,9,11,27.3,18.0,20.134524166666665,18.179689999989932
2017,11,9,12,21.6,17.4,19.295357499999998,17.3125
2017,11,9,13,20.1,17.4,18.450594999999996,17.351559999995516
2017,11,9,14,26.1,15.9,18.342678333333335,17.375
2017,11,9,15,18.6,16.2,16.953095,16.01563000000897
2017,11,9,16,28.5,15.9,19.007975833333333,17.929689999989932
2017,11,9,17,22.2,12.0,14.851190833333332,13.882810000010068
2017,11,9,18,13.2,6.3,9.290416666666665,8.726569999998901
2017,11,9,19,7.8,6.3,6.703630833333332,6.429690000004484
2017,11,9,20,7.8,6.3,6.655833333333334,6.351569999998901
2017,11,9,21,7.5,6.3,6.585833333333334,6.335940000004484
2017,11,9,22,7.8,6.3,6.634583333333334,6.351559999995516
2017,11,9,23,8.7,6.0,6.613333333333333,6.3125
2017,11,10,0,6.9,5.4,6.075,5.601569999998901
2017,11,10,1,6.0,5.4,5.819583333333334,5.390620000005583
2017,11,10,2,7.2,5.4,5.894583333333334,5.429689999989932
2017,11,10,3,6.0,5.1,5.6375,5.179689999989932
2017,11,10,4,6.6,5.1,5.58875,5.328119999991031
2017,11,10,5,6.6,5.1,5.575833333333333,5.304680000001099
2017,11,10,6,7.8,5.4,5.789166666666667,5.554690000004484
2017,11,10,7,14.4,5.4,8.136666666666667,7.742180000001099
2017,11,10,8,19.8,11.7,15.562083333333334,14.703119999991031
2017,11,10,9,22.8,16.5,19.2972025,18.2421800000011
2017,11,10,10,26.4,20.4,22.48041666666667,21.078120000005583
2017,11,10,11,31.2,18.3,20.9575,19.640620000005583
2017,11,10,12,20.4,16.2,18.034880833333332,16.867190000004484
2017,11,10,13,19.2,14.4,16.778333333333332,15.734370000005583
2017,11,10,14,17.1,14.4,15.554166666666669,14.609380000008969
2017,11,10,15,18.9,14.4,16.839524166666667,15.421869999991031
2017,11,10,16,18.3,15.9,16.892976666666666,15.382810000010068
2017,11,10,17,17.7,12.9,15.212202499999998,13.804680000001099
2017,11,10,18,20.7,13.2,14.680655000000002,13.328120000005583
2017,11,10,19,13.8,9.6,11.446905000000001,10.4375
2017,11,10,20,9.0,6.3,7.195714166666665,6.578129999994417
2017,11,10,21,8.1,6.3,6.7475,6.203120000005583
2017,11,10,22,6.9,6.3,6.749583333333333,6.226569999998901
2017,11,10,23,9.0,6.3,6.672916666666666,6.3125
2017,11,11,0,7.5,5.4,6.119940833333334,5.851569999998901
2017,11,11,1,6.6,5.4,5.571249999999999,5.351559999995516
2017,11,11,2,6.6,5.4,5.4875,5.296880000008969
2017,11,11,3,5.4,5.4,5.3999999999999995,5.21875
2017,11,11,4,6.6,5.4,5.464583333333334,5.28125
2017,11,11,5,5.4,5.4,5.3999999999999995,5.164059999995516
2017,11,11,6,6.6,5.4,5.534166666666665,5.0625
2017,11,11,7,6.9,5.1,5.5249999999999995,5.109370000005583
2017,11,11,8,6.9,5.4,5.891666666666667,5.429690000004484
2017,11,11,9,7.2,6.0,6.082916666666667,5.695309999995516
2017,11,11,10,7.5,6.0,6.2075,5.734369999991031
2017,11,11,11,6.9,6.0,6.381249999999999,5.851560000010068
2017,11,11,12,7.8,6.0,6.4175,5.90625
2017,11,11,13,8.4,6.0,6.4870833333333335,5.953120000005583
2017,11,11,14,7.5,5.7,6.236249999999999,5.960940000004484
2017,11,11,15,6.9,6.0,6.2195833333333335,5.960930000001099
2017,11,11,16,6.6,5.7,6.2612499999999995,5.984370000005583
2017,11,11,17,7.8,6.0,6.647083333333332,6.328129999994417
2017,11,11,18,7.5,6.3,6.90375,6.570309999995516
2017,11,11,19,7.8,6.3,6.716249999999999,6.4375
2017,11,11,20,8.4,6.3,6.562083333333333,6.296879999994417
