SDATE,DEVICE_CODE,P_MAX,P_MIN,P_AVG,YL_MAX,S_MINUTE,S_DAY
2018/6/21 00:00:00,K0bjcxc5029622,50.062,50.0298,50.0513,4.7468,28800,21
2018/6/21 00:05:00,K0bjcxc5029622,50.0667,50.0413,50.0498,5.2041,28805,21
2018/6/21 00:10:00,K0bjcxc5029622,50.044,50.044,50.044,4.8364,28810,21
2018/6/21 00:15:00,K0bjcxc5029622,50.0619,50.0568,50.0602,4.619,28815,21
2018/6/21 00:20:00,K0bjcxc5029622,50.0437,50.0288,50.0338,4.8835,28820,21
2018/6/21 00:25:00,K0bjcxc5029622,50.0794,50.0794,50.0794,4.5064,28825,21
2018/6/21 00:30:00,K0bjcxc5029622,50.0695,50.0371,50.0479,4.8295,28830,21
2018/6/21 00:35:00,K0bjcxc5029622,50.0768,50.0539,50.0692,4.6035,28835,21
2018/6/21 00:40:00,K0bjcxc5029622,50.0824,50.0561,50.0693,4.6035,28840,21
2018/6/21 00:45:00,K0bjcxc5029622,50.0736,50.0195,50.0375,3.501,28845,21
2018/6/21 00:50:00,K0bjcxc5029622,50.0557,50.0557,50.0557,3.2424,28850,21
2018/6/21 00:55:00,K0bjcxc5029622,50.0611,50.0311,50.0452,3.4619,28855,21
2018/6/21 01:00:00,K0bjcxc5029622,50.0718,50.0252,50.0461,3.703,28860,21
2018/6/21 01:05:00,K0bjcxc5029622,50.0275,50.0169,50.0222,2.9484,28865,21
2018/6/21 01:10:00,K0bjcxc5029622,50.0656,50.0277,50.0471,3.2801,28870,21
2018/6/21 01:15:00,K0bjcxc5029622,50.0849,50.0374,50.0547,3.5684,28875,21
2018/6/21 01:20:00,K0bjcxc5029622,50.063,50.063,50.063,3.1214,28880,21
2018/6/21 01:25:00,K0bjcxc5029622,50.0752,50.0492,50.0579,3.4265,28885,21
2018/6/21 01:30:00,K0bjcxc5029622,50.0808,50.0343,50.0498,3.4086,28890,21
2018/6/21 01:35:00,K0bjcxc5029622,50.049,50.049,50.049,3.22,28895,21
2018/6/21 01:40:00,K0bjcxc5029622,50.0546,50.025,50.0349,2.8805,28900,21
2018/6/21 01:45:00,K0bjcxc5029622,50.0629,50.0569,50.0589,3.1006,28905,21
2018/6/21 01:50:00,K0bjcxc5029622,50.0707,50.0707,50.0707,3.1996,28910,21
2018/6/21 01:55:00,K0bjcxc5029622,50.0596,50.0317,50.0503,2.9657,28915,21
2018/6/21 02:00:00,K0bjcxc5029622,50.071,50.015,50.043,3.1469,28920,21
2018/6/21 02:05:00,K0bjcxc5029622,50.059,50.0396,50.0493,3.9824,28925,21
2018/6/21 02:10:00,K0bjcxc5029622,50.0705,50.0443,50.0598,3.9197,28930,21
2018/6/21 02:15:00,K0bjcxc5029622,50.0228,50.0228,50.0228,3.4535,28935,21
2018/6/21 02:20:00,K0bjcxc5029622,50.0411,50.0334,50.0368,3.6701,28940,21
2018/6/21 02:25:00,K0bjcxc5029622,50.0347,50.0126,50.0264,3.6938,28945,21
2018/6/21 02:30:00,K0bjcxc5029622,50.0747,50.0747,50.0747,3.731,28950,21
2018/6/21 02:35:00,K0bjcxc5029622,50.0516,50.0205,50.0377,3.5474,28955,21
2018/6/21 02:40:00,K0bjcxc5029622,50.0601,50.0391,50.0531,5.0859,28960,21
2018/6/21 02:45:00,K0bjcxc5029622,50.0299,50.0299,50.0299,4.9277,28965,21
2018/6/21 02:50:00,K0bjcxc5029622,50.0598,50.0439,50.0545,4.3138,28970,21
2018/6/21 02:55:00,K0bjcxc5029622,50.0778,50.051,50.0601,3.8685,28975,21
2018/6/21 03:00:00,K0bjcxc5029622,50.0469,50.0469,50.0469,3.1483,28980,21
2018/6/21 03:05:00,K0bjcxc5029622,50.0847,50.0543,50.0644,3.5166,28985,21
2018/6/21 03:10:00,K0bjcxc5029622,50.0773,50.0773,50.0773,2.9514,28990,21
