SDATE,temperature_min,temperature_max
2016-09-01,19,27
2016-09-02,19,28
2016-09-03,19,31
2016-09-04,18,28
2016-09-05,19,31
2016-09-06,21,32
2016-09-07,18,32
2016-09-08,17,32
2016-09-09,19,32
2016-09-10,17,29
2016-09-11,18,23
2016-09-12,16,27
2016-09-13,18,27
2016-09-14,20,31
2016-09-15,20,30
2016-09-16,19,30
2016-09-17,16,25
2016-09-18,14,20
2016-09-19,12,26
2016-09-20,13,27
2016-09-21,15,25
2016-09-22,17,26
2016-09-23,18,28
2016-09-24,20,30
2016-09-25,18,26
2016-09-26,18,24
2016-09-27,12,24
2016-09-28,9,20
2016-09-29,11,23
2016-09-30,13,25
