SDATE,temperature_min,temperature_max
2018-01-01,-6,3
2018-01-02,-5,2
2018-01-03,-5,2
2018-01-04,-8,0
2018-01-05,-7,3
2018-01-06,-6,2
2018-01-07,-4,1
2018-01-08,-7,2
2018-01-09,-8,1
2018-01-10,-11,-3
2018-01-11,-9,0
2018-01-12,-8,3
2018-01-13,-7,4
2018-01-14,-6,7
2018-01-15,-6,2
2018-01-16,-5,4
2018-01-17,-8,7
2018-01-18,-5,6
2018-01-19,-4,8
2018-01-20,-6,3
2018-01-21,-6,-1
2018-01-22,-10,-3
2018-01-23,-13,-3
2018-01-24,-12,-3
2018-01-25,-12,-2
2018-01-26,-10,-2
2018-01-27,-10,0
2018-01-28,-8,-1
2018-01-29,-8,1
2018-01-30,-7,5
2018-01-31,-8,4
