SDATE,temperature_min,temperature_max
2017-06-01,16,30
2017-06-02,12,25
2017-06-03,15,28
2017-06-04,18,32
2017-06-05,14,29
2017-06-06,13,20
2017-06-07,18,32
2017-06-08,20,35
2017-06-09,20,37
2017-06-10,16,31
2017-06-11,17,32
2017-06-12,18,27
2017-06-13,16,29
2017-06-14,20,36
2017-06-15,23,38
2017-06-16,23,37
2017-06-17,24,35
2017-06-18,23,35
2017-06-19,20,31
2017-06-20,20,34
2017-06-21,21,33
2017-06-22,19,23
2017-06-23,18,24
2017-06-24,17,25
2017-06-25,19,30
2017-06-26,20,34
2017-06-27,21,35
2017-06-28,22,35
2017-06-29,23,35
2017-06-30,24,35
