SDATE,temperature_min,temperature_max
2018-09-01,19,28
2018-09-02,18,28
2018-09-03,19,31
2018-09-04,18,31
2018-09-05,18,31
2018-09-06,17,27
2018-09-07,15,27
2018-09-08,14,28
2018-09-09,14,29
2018-09-10,18,28
2018-09-11,18,26
2018-09-12,18,29
2018-09-13,19,29
2018-09-14,19,28
2018-09-15,14,27
2018-09-16,12,25
2018-09-17,17,27
2018-09-18,16,26
2018-09-19,17,26
2018-09-20,14,27
2018-09-21,13,25
2018-09-22,12,24
2018-09-23,11,24
2018-09-24,10,24
2018-09-25,11,24
2018-09-26,14,23
2018-09-27,12,23
2018-09-28,10,24
2018-09-29,10,22
2018-09-30,13,19
