SDATE,temperature_min,temperature_max
2016-03-01,-2,11
2016-03-02,2,18
2016-03-03,3,18
2016-03-04,4,11
2016-03-05,-1,12
2016-03-06,-2,12
2016-03-07,-2,12
2016-03-08,-2,6
2016-03-09,-5,6
2016-03-10,-4,7
2016-03-11,-4,8
2016-03-12,2,9
2016-03-13,-3,12
2016-03-14,2,16
2016-03-15,2,15
2016-03-16,6,17
2016-03-17,5,18
2016-03-18,4,21
2016-03-19,3,17
2016-03-20,4,16
2016-03-21,8,21
2016-03-22,4,14
2016-03-23,2,15
2016-03-24,2,16
2016-03-25,3,15
2016-03-26,5,19
2016-03-27,8,20
2016-03-28,7,22
2016-03-29,6,22
2016-03-30,7,21
2016-03-31,13,26
