SDATE,temperature_min,temperature_max
2016-10-01,15,26
2016-10-02,16,27
2016-10-03,17,29
2016-10-04,12,20
2016-10-05,13,24
2016-10-06,14,20
2016-10-07,12,17
2016-10-08,4,19
2016-10-09,7,19
2016-10-10,9,19
2016-10-11,9,21
2016-10-12,9,18
2016-10-13,12,23
2016-10-14,13,24
2016-10-15,12,17
2016-10-16,12,21
2016-10-17,8,21
2016-10-18,10,22
2016-10-19,13,22
2016-10-20,10,16
2016-10-21,10,12
2016-10-22,7,14
2016-10-23,4,16
2016-10-24,5,13
2016-10-25,9,18
2016-10-26,9,15
2016-10-27,6,11
2016-10-28,1,13
2016-10-29,2,11
2016-10-30,1,13
2016-10-31,-5,6
