SDATE,temperature_min,temperature_max
2017-03-01,-4,9
2017-03-02,-1,13
2017-03-03,-4,14
2017-03-04,0,13
2017-03-05,-3,12
2017-03-06,-4,10
2017-03-07,-1,10
2017-03-08,2,14
2017-03-09,1,16
2017-03-10,4,17
2017-03-11,4,21
2017-03-12,1,14
2017-03-13,1,15
2017-03-14,2,16
2017-03-15,2,17
2017-03-16,6,17
2017-03-17,5,18
2017-03-18,4,21
2017-03-19,6,19
2017-03-20,6,12
2017-03-21,4,15
2017-03-22,6,15
2017-03-23,2,7
2017-03-24,0,7
2017-03-25,4,14
2017-03-26,3,16
2017-03-27,5,15
2017-03-28,3,16
2017-03-29,7,20
2017-03-30,4,15
2017-03-31,5,17
