SDATE,temperature_min,temperature_max
2018-06-01,21,37
2018-06-02,22,36
2018-06-03,19,32
2018-06-04,19,36
2018-06-05,25,39
2018-06-06,24,36
2018-06-07,22,34
2018-06-08,20,32
2018-06-09,17,24
2018-06-10,17,27
2018-06-11,19,30
2018-06-12,19,32
2018-06-13,19,28
2018-06-14,19,32
2018-06-15,20,32
2018-06-16,21,31
2018-06-17,22,31
2018-06-18,21,31
2018-06-19,20,32
2018-06-20,21,36
2018-06-21,24,36
2018-06-22,21,31
2018-06-23,23,36
2018-06-24,24,37
2018-06-25,24,34
2018-06-26,24,36
2018-06-27,25,38
2018-06-28,23,36
2018-06-29,24,38
2018-06-30,23,37
