SDATE,temperature_min,temperature_max
2017-01-01,-3,6
2017-01-02,-7,8
2017-01-03,-5,5
2017-01-04,-6,7
2017-01-05,-5,3
2017-01-06,-3,4
2017-01-07,-4,2
2017-01-08,-5,6
2017-01-09,-5,4
2017-01-10,-7,5
2017-01-11,-6,6
2017-01-12,-5,6
2017-01-13,-7,4
2017-01-14,-7,3
2017-01-15,-7,1
2017-01-16,-5,1
2017-01-17,-7,6
2017-01-18,-5,3
2017-01-19,-9,0
2017-01-20,-9,1
2017-01-21,-9,0
2017-01-22,-11,1
2017-01-23,-8,1
2017-01-24,-7,5
2017-01-25,-5,5
2017-01-26,-7,9
2017-01-27,-6,6
2017-01-28,-5,5
2017-01-29,-9,2
2017-01-30,-7,2
2017-01-31,-5,6
