SDATE,temperature_min,temperature_max
2016-06-01,16,31
2016-06-02,19,32
2016-06-03,16,30
2016-06-04,16,30
2016-06-05,14,32
2016-06-06,18,32
2016-06-07,14,26
2016-06-08,17,33
2016-06-09,21,34
2016-06-10,20,35
2016-06-11,18,31
2016-06-12,19,32
2016-06-13,17,30
2016-06-14,17,24
2016-06-15,17,30
2016-06-16,19,34
2016-06-17,17,33
2016-06-18,21,32
2016-06-19,23,35
2016-06-20,21,35
2016-06-21,21,35
2016-06-22,21,37
2016-06-23,20,34
2016-06-24,18,32
2016-06-25,19,36
2016-06-26,22,37
2016-06-27,19,30
2016-06-28,19,31
2016-06-29,21,33
2016-06-30,21,31
