SDATE,temperature_min,temperature_max
2016-05-01,21,36
2016-05-02,14,21
2016-05-03,7,27
2016-05-04,16,30
2016-05-05,13,32
2016-05-06,9,27
2016-05-07,10,28
2016-05-08,13,30
2016-05-09,11,27
2016-05-10,16,27
2016-05-11,18,29
2016-05-12,4,23
2016-05-13,13,25
2016-05-14,10,17
2016-05-15,6,23
2016-05-16,11,33
2016-05-17,16,32
2016-05-18,15,32
2016-05-19,10,31
2016-05-20,11,31
2016-05-21,12,30
2016-05-22,14,29
2016-05-23,10,23
2016-05-24,15,30
2016-05-25,16,30
2016-05-26,12,30
2016-05-27,12,32
2016-05-28,18,32
2016-05-29,15,31
2016-05-30,21,37
2016-05-31,15,30
