SDATE,temperature_min,temperature_max
2018-08-01,26,36
2018-08-02,26,36
2018-08-03,26,37
2018-08-04,27,36
2018-08-05,25,35
2018-08-06,25,30
2018-08-07,24,29
2018-08-08,24,30
2018-08-09,24,30
2018-08-10,24,34
2018-08-11,23,30
2018-08-12,23,30
2018-08-13,24,30
2018-08-14,24,29
2018-08-15,24,32
2018-08-16,21,31
2018-08-17,22,30
2018-08-18,22,28
2018-08-19,22,26
2018-08-20,22,33
2018-08-21,22,32
2018-08-22,20,28
2018-08-23,20,31
2018-08-24,20,30
2018-08-25,22,32
2018-08-26,22,31
2018-08-27,22,30
2018-08-28,20,30
2018-08-29,20,32
2018-08-30,19,29
2018-08-31,21,29
