SDATE,temperature_min,temperature_max
2017-04-01,5,22
2017-04-02,8,24
2017-04-03,10,26
2017-04-04,11,20
2017-04-05,9,19
2017-04-06,9,25
2017-04-07,13,20
2017-04-08,7,19
2017-04-09,8,20
2017-04-10,11,20
2017-04-11,7,22
2017-04-12,8,26
2017-04-13,7,21
2017-04-14,10,27
2017-04-15,13,30
2017-04-16,13,27
2017-04-17,11,28
2017-04-18,10,24
2017-04-19,10,20
2017-04-20,10,23
2017-04-21,8,22
2017-04-22,12,27
2017-04-23,10,25
2017-04-24,11,24
2017-04-25,6,20
2017-04-26,10,25
2017-04-27,13,28
2017-04-28,13,31
2017-04-29,17,34
2017-04-30,12,29
