SDATE,temperature_min,temperature_max
2016-12-01,-5,10
2016-12-02,-4,10
2016-12-03,-3,10
2016-12-04,-3,9
2016-12-05,-6,6
2016-12-06,-3,7
2016-12-07,-2,9
2016-12-08,-3,8
2016-12-09,-6,5
2016-12-10,-5,6
2016-12-11,-2,5
2016-12-12,-3,4
2016-12-13,-8,3
2016-12-14,-7,2
2016-12-15,-7,7
2016-12-16,-7,7
2016-12-17,-5,8
2016-12-18,-5,8
2016-12-19,-4,9
2016-12-20,-3,8
2016-12-21,-4,4
2016-12-22,-5,7
2016-12-23,-7,4
2016-12-24,-5,5
2016-12-25,-3,3
2016-12-26,-8,4
2016-12-27,-8,3
2016-12-28,-8,4
2016-12-29,-8,4
2016-12-30,-7,3
2016-12-31,-7,4
