SDATE,temperature_min,temperature_max
2016-08-01,21,29
2016-08-02,21,32
2016-08-03,21,33
2016-08-04,21,32
2016-08-05,21,31
2016-08-06,23,33
2016-08-07,20,29
2016-08-08,20,31
2016-08-09,22,30
2016-08-10,24,33
2016-08-11,24,34
2016-08-12,22,32
2016-08-13,22,34
2016-08-14,23,33
2016-08-15,18,28
2016-08-16,19,30
2016-08-17,22,26
2016-08-18,21,25
2016-08-19,22,33
2016-08-20,21,33
2016-08-21,23,33
2016-08-22,23,32
2016-08-23,23,31
2016-08-24,24,33
2016-08-25,17,31
2016-08-26,17,30
2016-08-27,18,32
2016-08-28,17,32
2016-08-29,18,32
2016-08-30,19,30
2016-08-31,19,34
