SDATE,temperature_min,temperature_max
2018-07-01,22,35
2018-07-02,23,32
2018-07-03,23,32
2018-07-04,25,36
2018-07-05,24,37
2018-07-06,23,33
2018-07-07,22,31
2018-07-08,23,30
2018-07-09,23,30
2018-07-10,22,30
2018-07-11,21,25
2018-07-12,22,27
2018-07-13,22,28
2018-07-14,24,31
2018-07-15,25,32
2018-07-16,24,31
2018-07-17,23,27
2018-07-18,25,32
2018-07-19,26,33
2018-07-20,26,34
2018-07-21,26,35
2018-07-22,25,34
2018-07-23,25,32
2018-07-24,25,29
2018-07-25,25,32
2018-07-26,25,34
2018-07-27,23,32
2018-07-28,24,33
2018-07-29,25,33
2018-07-30,25,34
2018-07-31,26,35
