SDATE,temperature_min,temperature_max
2017-12-01,-5,5
2017-12-02,-4,7
2017-12-03,-5,5
2017-12-04,-6,4
2017-12-05,-3,7
2017-12-06,-4,8
2017-12-07,-5,5
2017-12-08,-4,7
2017-12-09,-4,6
2017-12-10,-7,3
2017-12-11,-9,0
2017-12-12,-8,-1
2017-12-13,-5,0
2017-12-14,-4,0
2017-12-15,-7,3
2017-12-16,-8,-1
2017-12-17,-5,5
2017-12-18,-6,6
2017-12-19,-4,4
2017-12-20,-6,6
2017-12-21,-6,8
2017-12-22,-6,10
2017-12-23,-3,7
2017-12-24,-6,6
2017-12-25,-4,5
2017-12-26,-7,3
2017-12-27,-5,4
2017-12-28,-4,5
2017-12-29,-3,4
2017-12-30,-6,6
2017-12-31,-7,4
