SDATE,temperature_min,temperature_max
2016-07-01,20,32
2016-07-02,19,34
2016-07-03,20,33
2016-07-04,18,33
2016-07-05,17,33
2016-07-06,17,34
2016-07-07,19,34
2016-07-08,21,34
2016-07-09,21,36
2016-07-10,22,37
2016-07-11,24,37
2016-07-12,21,29
2016-07-13,21,35
2016-07-14,21,32
2016-07-15,18,26
2016-07-16,17,28
2016-07-17,18,30
2016-07-18,21,32
2016-07-19,20,24
2016-07-20,21,22
2016-07-21,20,27
2016-07-22,22,30
2016-07-23,22,33
2016-07-24,24,33
2016-07-25,21,33
2016-07-26,20,31
2016-07-27,21,33
2016-07-28,23,33
2016-07-29,23,33
2016-07-30,23,30
2016-07-31,23,31
