SDATE,temperature_min,temperature_max
2017-10-01,12,26
2017-10-02,8,18
2017-10-03,9,20
2017-10-04,9,22
2017-10-05,10,21
2017-10-06,12,22
2017-10-07,12,20
2017-10-08,12,18
2017-10-09,8,15
2017-10-10,5,11
2017-10-11,5,16
2017-10-12,5,13
2017-10-13,8,18
2017-10-14,8,13
2017-10-15,7,16
2017-10-16,6,18
2017-10-17,10,16
2017-10-18,8,15
2017-10-19,8,19
2017-10-20,11,21
2017-10-21,9,18
2017-10-22,7,13
2017-10-23,5,16
2017-10-24,8,19
2017-10-25,9,15
2017-10-26,8,17
2017-10-27,8,18
2017-10-28,4,16
2017-10-29,1,13
2017-10-30,2,15
2017-10-31,3,17
