SDATE,temperature_min,temperature_max
2018-05-01,12,26
2018-05-02,12,26
2018-05-03,11,25
2018-05-04,15,28
2018-05-05,12,26
2018-05-06,14,29
2018-05-07,12,28
2018-05-08,13,28
2018-05-09,16,30
2018-05-10,18,27
2018-05-11,15,25
2018-05-12,16,29
2018-05-13,17,31
2018-05-14,21,34
2018-05-15,23,31
2018-05-16,21,29
2018-05-17,19,25
2018-05-18,16,29
2018-05-19,17,28
2018-05-20,16,20
2018-05-21,14,18
2018-05-22,10,25
2018-05-23,15,30
2018-05-24,17,32
2018-05-25,19,32
2018-05-26,17,31
2018-05-27,17,33
2018-05-28,17,31
2018-05-29,17,32
2018-05-30,18,34
2018-05-31,19,36
