SDATE,temperature_min,temperature_max
2017-08-01,24,31
2017-08-02,24,29
2017-08-03,23,34
2017-08-04,24,37
2017-08-05,22,33
2017-08-06,23,34
2017-08-07,23,36
2017-08-08,22,33
2017-08-09,22,31
2017-08-10,23,33
2017-08-11,22,34
2017-08-12,21,31
2017-08-13,22,29
2017-08-14,22,30
2017-08-15,22,31
2017-08-16,21,28
2017-08-17,22,30
2017-08-18,22,30
2017-08-19,22,29
2017-08-20,23,31
2017-08-21,23,33
2017-08-22,22,29
2017-08-23,22,32
2017-08-24,19,34
2017-08-25,18,33
2017-08-26,18,29
2017-08-27,17,22
2017-08-28,16,28
2017-08-29,15,26
2017-08-30,18,28
2017-08-31,18,28
