SDATE,temperature_min,temperature_max
2016-04-01,10,24
2016-04-02,8,18
2016-04-03,8,19
2016-04-04,12,22
2016-04-05,11,25
2016-04-06,12,25
2016-04-07,9,23
2016-04-08,12,25
2016-04-09,8,26
2016-04-10,6,20
2016-04-11,8,18
2016-04-12,7,20
2016-04-13,10,27
2016-04-14,9,24
2016-04-15,13,26
2016-04-16,10,21
2016-04-17,10,20
2016-04-18,9,21
2016-04-19,12,20
2016-04-20,14,27
2016-04-21,11,30
2016-04-22,9,24
2016-04-23,9,23
2016-04-24,14,29
2016-04-25,14,31
2016-04-26,13,26
2016-04-27,12,21
2016-04-28,13,30
2016-04-29,14,33
2016-04-30,16,33
