SDATE,temperature_min,temperature_max
2016-11-01,-3,8
2016-11-02,0,13
2016-11-03,2,15
2016-11-04,4,16
2016-11-05,1,18
2016-11-06,2,9
2016-11-07,1,12
2016-11-08,-2,11
2016-11-09,1,10
2016-11-10,-1,9
2016-11-11,0,12
2016-11-12,1,13
2016-11-13,2,11
2016-11-14,-3,13
2016-11-15,-2,10
2016-11-16,1,12
2016-11-17,4,7
2016-11-18,6,11
2016-11-19,2,14
2016-11-20,-1,3
2016-11-21,-11,0
2016-11-22,-9,1
2016-11-23,-8,3
2016-11-24,-7,5
2016-11-25,-5,5
2016-11-26,-5,8
2016-11-27,-6,8
2016-11-28,-5,9
2016-11-29,-3,4
2016-11-30,-1,9
