SDATE,temperature_min,temperature_max
2017-07-01,24,36
2017-07-02,23,36
2017-07-03,23,36
2017-07-04,23,31
2017-07-05,23,30
2017-07-06,22,25
2017-07-07,23,32
2017-07-08,25,34
2017-07-09,22,34
2017-07-10,20,37
2017-07-11,26,37
2017-07-12,27,36
2017-07-13,24,37
2017-07-14,23,32
2017-07-15,24,33
2017-07-16,25,34
2017-07-17,24,34
2017-07-18,24,33
2017-07-19,25,31
2017-07-20,25,34
2017-07-21,23,25
2017-07-22,23,28
2017-07-23,23,29
2017-07-24,22,29
2017-07-25,21,30
2017-07-26,20,24
2017-07-27,23,29
2017-07-28,22,31
2017-07-29,21,31
2017-07-30,21,32
2017-07-31,23,32
