SDATE,temperature_min,temperature_max
2017-05-01,13,27
2017-05-02,16,29
2017-05-03,15,28
2017-05-04,13,28
2017-05-05,10,21
2017-05-06,10,29
2017-05-07,14,30
2017-05-08,15,31
2017-05-09,14,29
2017-05-10,13,30
2017-05-11,12,31
2017-05-12,13,30
2017-05-13,15,29
2017-05-14,13,28
2017-05-15,14,28
2017-05-16,16,32
2017-05-17,18,34
2017-05-18,20,36
2017-05-19,21,36
2017-05-20,19,34
2017-05-21,16,32
2017-05-22,12,18
2017-05-23,13,28
2017-05-24,16,33
2017-05-25,14,31
2017-05-26,16,31
2017-05-27,20,35
2017-05-28,21,37
2017-05-29,17,27
2017-05-30,15,26
2017-05-31,17,34
