SDATE,temperature_min,temperature_max
2017-09-01,18,28
2017-09-02,18,27
2017-09-03,18,29
2017-09-04,19,29
2017-09-05,18,31
2017-09-06,17,31
2017-09-07,18,31
2017-09-08,19,30
2017-09-09,20,31
2017-09-10,18,28
2017-09-11,15,30
2017-09-12,18,30
2017-09-13,19,29
2017-09-14,19,29
2017-09-15,17,29
2017-09-16,17,28
2017-09-17,15,29
2017-09-18,17,30
2017-09-19,14,30
2017-09-20,13,28
2017-09-21,16,30
2017-09-23,16,29
2017-09-24,17,29
2017-09-25,17,29
2017-09-26,12,24
2017-09-27,9,24
2017-09-28,10,23
2017-09-29,10,26
2017-09-30,15,28
