S_Year,S_Month,S_DAY,P_MAX,P_MIN,P_AVG,YL_MAX
2017,11,9,12.67,2.17,4.742728362369333,114.04981000000043
2017,11,10,8.77,1.72,3.8205565277777804,91.97997999999825
2017,11,11,4.12,1.65,2.1058481944444454,51.27002000000175
2017,11,12,2.77,1.65,2.032879581881532,49.450190000000475
2017,11,13,13.27,1.57,4.2864504513888875,103.46972000000005
2017,11,14,13.42,2.02,5.501748715277776,132.45996000000014
2017,11,15,13.57,1.95,5.087404493927131,136.08984000000055
2017,11,16,9.82,2.32,4.664715624999999,112.52001999999993
2017,11,17,15.0,1.72,4.607072951388887,111.29003999999986
2017,11,18,3.97,1.87,2.2679549999999997,55.12012000000141
2017,11,19,4.65,1.8,2.3326816783216806,56.75
2017,11,20,9.15,1.8,3.681450699300697,88.57959000000028
2017,11,21,10.2,2.25,4.510180659722224,108.58006999999816
2017,11,22,11.25,2.1,4.903018506944445,118.04003999999986
2017,11,23,9.67,2.32,4.979852604166667,119.8798799999986
2017,11,24,12.52,2.4,5.3606201388888906,129.20996000000014
2017,11,25,4.12,1.72,2.5192789887640434,56.37989000000107
2017,11,26,4.8,1.65,2.6867072727272725,32.30029000000013
2017,11,27,11.62,1.65,4.7460542013888904,114.38036999999986
2017,11,28,8.62,1.95,4.17815003472222,100.88965000000007
2017,11,29,9.82,1.87,5.109610555555559,123.04980999999862
2017,11,30,9.45,2.1,4.5755668181818185,110.35985999999957
2017,12,1,9.07,1.8,3.935566079136686,93.97020999999859
2017,12,2,4.72,1.8,2.174582083333334,52.91015999999945
2017,12,3,5.77,1.8,2.408247456445994,58.4697299999998
2017,12,4,10.8,1.8,4.587276805555557,110.72998000000189
2017,12,5,15.52,2.1,5.718522395833336,137.66015999999945
2017,12,6,10.65,2.1,4.583704166666669,110.70018999999957
2017,12,7,11.1,2.02,4.7039222807017556,113.2900299999983
2017,12,8,13.12,2.1,4.867469513888889,117.24023999999827
2017,12,9,6.97,1.95,2.7191931944444443,66.05957000000035
2017,12,10,4.42,1.95,2.536968951048952,61.5898500000003
2017,12,11,10.42,1.95,4.087029444444443,99.08984000000055
2017,12,12,10.8,2.17,4.592457499999999,110.92967999999928
2017,12,13,12.75,2.7,5.82788770833333,140.25976000000082
2017,12,14,9.3,2.47,4.9358889583333285,118.79980000000069
2017,12,15,10.05,2.17,4.714774826388888,113.81053999999858
2017,12,16,4.65,2.02,2.754525868055555,66.75
2017,12,17,2.92,1.95,2.2694936013986013,55.169920000000275
2017,12,18,13.12,2.02,4.816540937499997,116.20018999999957
2017,12,19,10.8,2.32,5.205123055555552,125.33007999999973
2017,12,20,11.4,2.25,5.560499374999994,132.33006999999998
2017,12,21,8.55,2.17,3.911799756944445,94.45996000000014
2017,12,22,13.65,2.02,4.563436319444439,109.91992000000027
2017,12,23,3.52,1.87,2.297809097222221,55.74022999999943
2017,12,24,3.82,1.87,2.2118983333333335,53.859379999999874
2017,12,25,7.5,1.87,3.775402256944446,91.20019999999931
2017,12,26,8.7,2.02,4.4639502430555575,107.56055000000015
2017,12,27,8.32,2.25,4.5722662152777795,110.11035000000084
2017,12,28,9.52,2.1,4.505422499999998,108.40039999999863
2017,12,29,11.02,2.1,4.766793794326242,116.67969000000085
2017,12,30,5.32,1.87,2.515613784722221,60.87989000000016
2017,12,31,4.72,1.8,2.2605017361111117,54.95019999999931
2018,1,1,2.77,1.8,2.1169125347222226,51.400399999998626
2018,1,2,12.52,1.8,4.747613958333335,114.55956999999944
2018,1,3,11.4,1.95,4.674352673611111,112.36035000000084
2018,1,4,11.47,3.0,5.490516411149825,132.0898500000003
2018,1,5,10.65,1.95,4.385521736111107,105.66992000000027
2018,1,6,6.45,1.87,2.6665695486111094,64.45019999999931
2018,1,7,3.07,1.87,2.18777482638889,53.200189999999566
2018,1,8,13.5,1.87,5.350373832752612,128.82910000000084
2018,1,9,12.52,3.45,6.441323205574911,155.0
2018,1,10,10.87,3.15,5.984659409722223,144.04003999999986
2018,1,11,9.6,2.1,4.5196035416666644,109.0996099999993
2018,1,12,11.32,1.95,3.858471840277778,93.21973000000071
2018,1,13,3.0,1.87,2.270722222222223,55.290030000000115
2018,1,14,3.0,1.95,2.255104236111111,54.82032000000072
2018,1,15,9.0,1.95,4.252491805555558,102.55957000000126
2018,1,16,10.35,2.02,4.061483958333336,98.11035000000084
2018,1,17,10.05,1.87,4.316649618055559,104.10937000000013
2018,1,18,11.77,2.1,5.19723326388889,125.30956999999944
2018,1,19,10.95,2.02,3.8356522569444462,92.17968999999903
2018,1,20,3.0,1.95,2.2666389930555564,55.12010999999984
2018,1,21,3.0,1.87,2.192677770034843,53.299810000000434
2018,1,22,13.12,1.87,4.5537911149825785,110.35059000000001
2018,1,23,12.22,1.87,4.501695714285715,108.4003900000007
2018,1,24,9.6,1.95,4.827273649122803,117.24023999999918
2018,1,25,10.12,2.02,4.253031183206106,103.04980000000069
2018,1,26,9.97,1.87,4.059702708333332,98.00976999999875
2018,1,27,3.45,1.87,2.1815465034965023,52.97069999999985
2018,1,28,3.22,1.87,2.2258810801393727,54.03027000000111
2018,1,29,13.42,1.87,5.502451979166665,132.5595799999992
2018,1,30,12.6,2.02,4.763713819444442,114.87989000000016
2018,1,31,10.2,1.95,4.8069061111111075,115.79980000000069
2018,2,1,10.65,2.4,5.070290451388888,122.15038999999888
2018,2,2,11.25,2.02,4.734203437499997,114.07030999999915
2018,2,3,3.9,1.95,2.3686230662020913,57.51952999999776
2018,2,4,5.02,2.02,2.406389479166668,58.360349999999016
2018,2,5,12.6,2.02,4.50741347222222,108.51073999999971
2018,2,6,10.05,2.1,4.738148561403507,114.14061999999831
2018,2,7,11.85,1.95,5.305064999999997,127.65917999999874
2018,2,8,11.92,2.32,5.110382777777775,122.80077999999958
2018,2,9,9.45,1.87,4.343944409722219,104.81055000000015
2018,2,10,3.15,1.8,2.1518304166666646,52.37012000000141
2018,2,11,9.15,1.8,3.5767708391608397,86.35059000000183
2018,2,12,5.4,2.02,3.2791053125,79.16015999999945
2018,2,13,7.35,1.95,3.7458507692307723,90.35057999999844
2018,2,14,5.47,1.72,2.6886551041666653,65.08984000000055
2018,2,15,2.77,1.65,1.879797167832169,45.93065999999817
2018,2,16,2.85,1.65,1.8811677112676068,45.989260000000286
2018,2,17,2.25,1.57,1.8515121180555587,45.2792900000004
2018,2,18,2.62,1.57,1.796830845070424,43.8203199999989
2018,2,19,2.85,1.57,1.7895182986111118,43.70996000000014
2018,2,20,2.55,1.57,1.8122649823321575,44.31053999999676
2018,2,21,4.72,1.57,1.850130208333334,45.27930000000015
2018,2,22,5.7,1.57,2.880017777777779,69.87010999999984
2018,2,23,7.35,2.02,3.7557163888888874,90.8496099999993
2018,2,24,6.6,2.1,4.053965486111112,97.53027000000111
2018,2,25,7.57,1.95,4.027388309859154,97.13965000000098
2018,2,26,10.12,2.1,5.103898263888887,122.75976999999875
2018,2,27,11.92,2.1,5.165092692307693,124.34961000000112
2018,2,28,11.47,2.32,5.167613576388888,124.72948999999971
2018,3,1,12.45,2.02,5.565703066202091,133.83984000000055
2018,3,2,12.0,3.45,7.006661666666665,168.59961000000112
2018,3,3,6.9,2.55,5.025868437500001,121.15918000000056
2018,3,4,7.27,2.47,4.641061149825782,112.12011999999959
2018,3,5,12.6,2.1,5.673320069444444,136.55956999999944
2018,3,6,9.6,2.47,6.060913951048951,145.6992199999986
2018,3,7,14.7,2.62,7.254552430555553,174.48045999999886
2018,3,8,12.3,2.47,6.804824201388889,164.0117199999986
2018,3,9,10.5,4.12,6.320603541666661,152.1211000000003
2018,3,10,6.82,2.17,4.6477707986111145,112.10938000000169
2018,3,11,5.1,2.02,3.9599218402777754,95.46875
2018,3,12,10.65,2.55,5.473807708333332,132.01952999999776
2018,3,13,11.55,3.52,6.205219861111109,149.31054999999833
2018,3,14,10.35,3.67,6.090745763888886,146.78905999999915
2018,3,15,11.55,2.17,5.228420069444444,125.74022999999943
2018,3,16,9.9,2.1,5.495310555555555,132.44922000000224
2018,3,17,7.8,2.25,4.512046527777781,108.60936999999831
2018,3,18,5.77,2.02,4.0139856537102485,96.50976000000082
2018,3,19,11.32,3.82,5.746454756944441,138.18945999999778
2018,3,20,11.62,4.05,6.901350798611109,166.02930000000197
2018,3,21,15.52,3.67,6.851197361111112,165.08007999999973
2018,3,22,11.25,1.95,5.4689496180555555,131.89062000000195
2018,3,23,12.67,1.72,5.053810590277774,122.09960999999748
2018,3,24,4.95,1.65,3.226050280701755,77.97070000000167
2018,3,25,4.65,1.57,2.7200061538461555,65.60937999999805
2018,3,26,8.1,1.57,2.9714884374999984,71.93945999999778
2018,3,27,8.4,1.65,3.825928298611111,92.39063000000169
2018,3,28,11.92,2.32,5.010610243055557,120.6992199999986
2018,3,29,7.05,1.87,3.7945889236111134,91.61913999999888
2018,3,30,6.37,1.87,3.3548167013888874,81.17969000000085
2018,3,31,3.22,1.72,2.133480347222221,51.921879999998055
2018,4,1,3.3,1.72,2.1137716433566434,51.40038999999888
2018,4,2,7.35,1.87,3.170538472222221,76.67969000000085
2018,4,3,8.62,1.87,3.4143803819444463,82.68163999999888
2018,4,4,9.82,1.72,3.4717472569444414,84.08007999999973
2018,4,5,4.27,1.57,2.1132528125000003,51.43945000000167
2018,4,6,4.95,1.5,2.5820220486111114,62.429690000000846
2018,4,7,5.1,1.57,3.691989826388887,89.16992000000027
2018,4,8,9.9,1.57,4.860721045296164,117.11913999999888
2018,4,9,12.37,2.47,5.288094236111112,127.39063000000169
2018,4,10,8.47,1.72,3.478640557491289,84.02928999999858
2018,4,11,7.57,1.65,2.929736631578947,70.68945000000167
2018,4,12,7.65,1.57,2.9573916666666644,71.5898500000003
2018,4,13,9.75,1.5,4.1440329929577455,99.64061999999831
2018,4,14,4.42,1.57,2.7216070486111095,65.90038999999888
2018,4,15,4.35,1.5,1.9153828222996512,46.6601499999997
2018,4,16,8.25,1.5,3.0010610416666657,72.85155999999915
2018,4,17,6.52,1.57,3.2864935249042126,82.73047000000224
2018,4,18,7.42,1.57,3.2077701045296174,77.72852000000057
2018,4,19,8.47,1.5,3.0369394773519165,73.64023000000088
2018,4,20,6.9,1.8,3.4685184027777773,84.0
2018,4,21,3.0,1.72,2.1809718750000013,53.20000000000073
2018,4,22,3.07,1.65,2.04810277777778,49.89999999999782
2018,4,23,7.12,1.57,3.2137798611111106,77.60000000000218
2018,4,24,9.45,1.65,3.339875,81.10000000000218
2018,4,25,6.9,1.65,2.8981802083333346,70.39999999999782
2018,4,26,7.05,1.72,3.0420385416666664,73.5
2018,4,27,7.42,1.5,2.9475125,71.70000000000073
2018,4,28,5.7,1.65,2.8769802083333307,69.90000000000146
2018,4,29,2.7,1.57,1.9957881944444462,48.70000000000073
2018,4,30,3.45,1.57,2.0248236111111115,49.099999999998545
2018,5,1,2.77,1.65,2.075097761194029,23.400000000001455
2018,5,2,6.52,1.5,2.8719920138888906,69.70000000000073
2018,5,3,5.7,1.65,2.73011215277778,66.5
2018,5,4,6.45,1.72,2.9980225694444456,72.60000000000218
2018,5,5,2.77,1.72,2.1681804878048783,52.70000000000073
2018,5,6,3.52,1.72,2.1192989547038317,51.70000000000073
2018,5,7,6.9,1.72,2.9770236111111132,72.10000000000218
2018,5,8,6.82,1.87,3.1283298611111108,75.70000000000073
2018,5,9,6.22,1.72,3.1544381944444435,76.59999999999854
2018,5,10,8.02,1.8,3.591427083333336,86.79999999999927
2018,5,11,7.8,1.87,3.224793749999999,78.0
2018,5,12,4.65,1.72,2.4273180555555562,59.099999999998545
2018,5,13,3.75,1.8,2.226767708333333,54.20000000000073
2018,5,14,6.82,1.8,3.203365624999999,77.80000000000291
2018,5,30,1.8,1.8,1.8,0.0
2018,6,21,8.78,0.0,4.633777430555553,3332.31
2018,6,22,10.06,2.55,4.693874652777779,112.38999999999987
2018,6,23,5.96,0.0,3.6721572916666627,88.0
2018,6,24,5.14,2.36,3.579848263888889,85.90000000000009
2018,6,25,9.02,2.48,5.0422375000000015,120.96000000000004
2018,6,26,9.78,3.15,5.082444097222224,121.92000000000007
2018,6,27,10.42,3.27,5.640152083333332,135.23000000000002
2018,6,28,8.5,3.49,5.506315624999999,131.86999999999944
2018,6,29,9.55,3.5,5.520657986111114,132.16000000000076
2018,6,30,6.99,3.31,4.5257611111111125,108.15999999999985
2018,7,1,6.84,3.34,4.388943055555557,105.1899999999996
2018,7,2,8.94,2.8,4.585383333333331,110.10000000000036
2018,7,3,10.48,2.75,4.852316666666669,116.35000000000036
2018,7,4,9.09,2.79,4.982156597222227,119.36999999999989
2018,7,5,8.94,2.38,4.699848263888884,112.73999999999978
2018,7,6,9.33,2.49,5.05590659722222,121.34999999999945
2018,7,7,5.32,2.52,3.7098604166666624,88.94000000000051
2018,7,8,6.16,2.23,3.4194843749999984,81.85000000000036
2018,7,9,10.95,2.19,4.439605555555558,106.59000000000015
2018,7,10,9.67,2.52,4.399218749999999,105.42000000000007
2018,7,11,8.41,2.25,4.169022916666667,99.67000000000007
2018,7,12,9.82,2.13,4.05860729166667,97.5600000000004
2018,7,13,8.81,2.37,4.372359722222219,104.69999999999982
2018,7,14,6.41,2.46,3.76293090277778,90.26999999999953
2018,7,15,5.6,2.47,4.056039236111112,97.1200000000008
2018,7,16,9.38,2.52,4.805871527777777,114.98000000000047
2018,7,17,8.79,2.58,4.450482291666667,106.63999999999942
2018,7,18,8.81,2.42,4.4959718749999995,107.5
2018,7,19,9.98,2.5,4.750446527777778,113.90999999999985
2018,7,20,9.5,2.53,4.940638888888892,118.32000000000062
2018,7,21,5.49,2.4,4.227787500000002,101.13999999999942
2018,7,22,5.31,3.02,4.173552083333331,99.96000000000004
2018,7,23,9.48,2.89,5.168187152777777,124.10999999999967
2018,7,24,10.0,3.04,5.022249305555557,120.32999999999993
2018,7,25,9.21,2.46,4.969846527777779,119.19999999999982
2018,7,26,9.18,2.52,5.1318690972222205,123.09000000000015
