S_Year,S_Month,S_DAY,P_MAX,P_MIN,P_AVG,YL_MAX
2017,11,9,28.5,5.4,11.787295958188153,284.42186999999103
2017,11,10,31.2,5.1,11.650818506944447,282.67188000000897
2017,11,11,8.4,5.1,6.10744545138888,149.57812999999442
2017,11,12,23.7,5.1,9.520594859154922,229.59375999998883
2017,11,13,38.1,5.4,14.001990243055552,338.4375
2017,11,14,39.9,5.7,16.021040451388902,387.0078099999955
2017,11,15,38.7,5.1,14.94612206477732,388.03906000001007
2017,11,16,44.1,5.7,17.369525419580434,417.29688000000897
2017,11,17,38.1,5.4,17.275574405594398,415.8359400000045
2017,11,18,8.1,4.5,5.560355868055562,136.82030999999552
2017,11,19,39.9,4.5,17.759481080139384,428.1953199999989
2017,11,20,45.0,7.2,19.61500129370631,471.3125
2017,11,21,48.0,6.6,18.370128993055573,442.85938000000897
2017,11,22,35.7,5.7,16.730473680555562,404.24218999998993
2017,11,23,46.2,5.4,17.196698286713307,413.64061999999103
2017,11,24,45.9,5.4,17.015981228070185,407.5859400000045
2017,11,25,8.7,5.1,6.095300751879684,137.6328199999989
2017,11,26,32.7,6.0,12.508344195804183,147.86719000000448
2017,11,27,45.3,5.4,18.355168645833352,442.46875
2017,11,28,43.8,5.4,17.898272187499998,431.8828099999955
2017,11,29,48.9,5.4,19.89768975694447,480.4375
2017,11,30,48.0,5.1,17.58688680701755,422.5859300000011
2017,12,1,47.1,5.1,18.666776702898574,447.85938000000897
2017,12,2,7.5,5.1,5.825535121951222,142.9140699999989
2017,12,3,38.4,5.1,15.616665052264837,376.61718999998993
2017,12,4,48.9,5.4,20.80874875,501.8281200000056
2017,12,5,48.6,5.1,18.303716493055568,441.5078099999955
2017,12,6,46.2,5.1,16.89993548611112,408.4375
2017,12,7,42.9,5.1,17.329410209790208,417.05468999998993
2017,12,8,45.0,6.0,18.75052261324044,451.48436999999103
2017,12,9,8.7,5.1,5.9627777777777675,145.60156000001007
2017,12,10,31.2,5.1,13.598110210526313,327.5
2017,12,11,49.8,5.4,20.363627222222227,490.9765599999955
2017,12,12,51.3,4.5,21.225273194444437,511.89061999999103
2017,12,13,51.6,4.8,23.673038229166643,570.9843799999944
2017,12,14,50.4,5.1,21.42627437499998,516.71875
2017,12,15,47.7,5.4,21.739114618055552,523.96875
2017,12,16,15.3,4.8,8.185555555555556,198.8125
2017,12,17,43.8,4.5,16.45147925531914,391.6015599999955
2017,12,18,47.7,4.5,17.62360868055555,425.46875
2017,12,19,51.3,4.2,21.394016562500003,516.3203100000101
2017,12,20,45.0,5.7,17.655326076388913,425.2734400000045
2017,12,21,47.1,5.1,18.229153867595812,439.8046800000011
2017,12,22,40.5,5.1,17.028822412587417,409.3515699999989
2017,12,23,31.5,4.8,11.965585312499982,289.5781200000056
2017,12,24,31.5,5.4,14.025410486111088,338.8515599999955
2017,12,25,48.3,5.4,20.012716215277777,483.1718700000056
2017,12,26,47.1,4.5,19.62900788194445,473.0234400000045
2017,12,27,50.4,0.0,21.624656493055554,521.6875
2017,12,28,53.1,0.0,13.735894285714288,331.0625
2017,12,29,51.0,5.1,24.532111043165482,597.3125
2017,12,30,37.2,5.1,14.310352152777776,345.29688000000897
2017,12,31,45.3,5.4,22.085495157894737,528.3984399999899
2018,1,1,43.5,4.2,14.323824409722205,346.9375
2018,1,2,48.3,4.2,20.13241912891987,485.47656000001007
2018,1,3,51.9,5.7,22.560795347222196,542.8359300000011
2018,1,4,52.5,5.1,23.62429812499998,569.0
2018,1,5,50.1,4.8,21.121754756944487,508.9375
2018,1,6,15.3,5.4,7.851291188811188,190.24218999998993
2018,1,7,39.9,5.1,16.551945659722218,399.35936999999103
2018,1,8,52.8,4.5,22.11965534965036,531.0546900000045
2018,1,9,52.5,4.2,20.42966527972026,490.9296900000045
2018,1,10,53.4,4.2,22.039062465277766,531.0703100000101
2018,1,11,52.5,4.2,22.56069201388887,544.8281299999944
2018,1,12,51.9,4.2,21.16015874999998,510.875
2018,1,13,7.2,4.2,5.228836805555556,128.47655999999552
2018,1,14,44.7,4.2,15.60963784722218,378.0390599999955
2018,1,15,52.8,4.2,22.435401840277752,540.3046900000045
2018,1,16,46.5,6.0,19.906153263888907,479.8125
2018,1,17,50.4,4.8,19.621138402777802,473.57811999999103
2018,1,18,50.4,5.1,19.507977438596477,467.75
2018,1,19,51.0,4.8,19.07030162544169,455.4609400000045
2018,1,20,15.6,5.1,8.511760937499997,206.64061999999103
2018,1,21,42.3,5.1,19.99666505226482,481.7265599999955
2018,1,22,51.9,5.7,24.758020139372835,597.0078199999989
2018,1,23,52.8,4.8,24.97074700348432,603.4140600000101
2018,1,24,68.1,4.5,26.983626631578915,655.1015699999989
2018,1,25,70.5,4.8,25.172478244274796,682.28125
2018,1,26,69.3,5.1,29.389594479166664,706.7812400000112
2018,1,27,16.2,4.2,8.89991129370629,215.83594000000448
2018,1,28,63.9,4.8,24.909420174825176,597.09375
2018,1,29,69.0,4.2,27.963353159722217,673.7421900000045
2018,1,30,67.8,5.4,27.047335714285712,650.78125
2018,1,31,57.9,4.2,20.06689857638885,484.3515699999989
2018,2,1,55.5,4.2,20.884433076923074,501.6953099999955
2018,2,2,69.3,4.2,23.428127534722208,565.390630000009
2018,2,3,15.6,4.5,8.415428526315786,204.46875
2018,2,4,58.2,4.2,22.306390602836892,531.0390599999955
2018,2,5,63.0,8.1,26.601729930555543,641.0781299999944
2018,2,6,67.5,7.2,27.186659268292683,652.3203099999955
2018,2,7,63.6,4.8,24.384115729166638,588.0234400000045
2018,2,8,59.4,4.5,25.003075699300688,599.3671900000045
2018,2,9,57.6,4.5,22.66610496527776,545.7265599999955
2018,2,10,6.9,4.2,5.156086398601393,127.01562000000558
2018,2,11,67.8,4.2,23.983086909722264,577.5781200000056
2018,2,12,63.3,4.2,22.73505458333334,547.3671800000011
2018,2,13,57.3,5.1,20.4510279861111,493.39843999998993
2018,2,14,60.6,4.2,19.074946527777755,460.6796900000045
2018,2,15,33.3,4.5,13.02579618374556,312.3125
2018,2,16,7.2,4.2,5.411449825174832,133.01563000000897
2018,2,17,8.1,4.2,5.2489707291666665,129.00781000001007
2018,2,18,38.1,4.2,11.68503508771929,281.4921900000045
2018,2,19,50.7,4.2,13.84936506944444,335.5156200000056
2018,2,20,53.7,4.8,14.670651818181792,354.4375
2018,2,21,7.2,4.2,5.206954375000002,127.9375
2018,2,22,54.3,4.2,17.955900390070905,427.9765599999955
2018,2,23,48.3,4.2,18.039409722222224,435.5
2018,2,24,50.1,5.1,19.98553826388889,482.1406299999944
2018,2,25,44.1,4.5,16.065444545454557,386.71875
2018,2,26,53.4,5.1,18.907991111111098,456.9531299999944
2018,2,27,54.6,4.8,19.05039923611113,460.34375
2018,2,28,47.7,5.1,19.36004715277778,467.21093999998993
2018,3,1,59.1,5.7,19.168743741258766,459.89070000000356
2018,3,2,38.7,5.4,16.922718566433566,406.72659999997995
2018,3,3,15.0,5.4,7.650827118055561,185.8125
2018,3,4,28.8,5.4,13.61956482394365,327.09379999997327
2018,3,5,43.2,5.7,17.263981875,416.64060000001336
2018,3,6,53.1,4.8,19.2838082986111,465.8125
2018,3,7,59.1,4.2,19.62350819444442,473.359300000011
2018,3,8,51.3,4.2,16.848898531468528,406.28129999997327
2018,3,9,41.4,4.2,15.468610174825171,372.875
2018,3,10,7.2,4.8,5.514042638888906,135.40629999997327
2018,3,11,41.7,4.2,15.980235578947383,383.70310000001336
2018,3,12,55.2,5.4,16.776223958333336,405.73439999998664
2018,3,13,36.6,4.8,12.855515868055546,311.03129999997327
2018,3,14,28.5,5.1,12.294451805555552,297.39060000001336
2018,3,15,33.0,4.8,12.352413159722223,298.60940000001574
2018,3,16,33.0,4.5,13.50357235714285,320.70310000001336
2018,3,17,6.9,4.8,5.446294652777783,133.8125
2018,3,18,39.6,4.2,13.632502482517483,328.625
2018,3,19,30.3,5.1,13.50126607638888,326.67189999998664
2018,3,20,39.9,4.8,14.317162708333333,345.8436999999976
2018,3,21,39.9,5.1,13.797582447552458,332.890699999989
2018,3,22,35.4,5.1,13.38134052083333,324.125
2018,3,23,29.7,5.7,12.539807013888902,303.26560000001336
2018,3,24,7.8,5.1,5.910609017543857,144.76560000001336
2018,3,25,15.0,5.1,8.711029270833349,211.78130000000237
2018,3,26,21.3,5.1,10.975954826388907,266.17189999998664
2018,3,27,21.0,4.5,11.519449444444437,279.53129999997327
2018,3,28,23.1,6.0,11.956326188811197,288.4375
2018,3,29,25.2,5.4,12.077869548611119,292.51559999998426
2018,3,30,22.5,4.8,11.964849823321556,287.25
2018,3,31,8.1,5.1,6.251850138888889,152.57810000001336
2018,4,1,17.7,5.1,8.927581493055548,216.6875
2018,4,2,24.0,5.4,11.692086979166671,283.64061999999103
2018,4,3,21.9,5.1,10.727830567375882,258.26561999999103
2018,4,4,22.2,4.5,10.709383873239439,258.01563000000897
2018,4,5,7.8,4.5,5.364670138888899,132.04686999999103
2018,4,6,28.2,4.5,10.164315664335659,245.70311999999103
2018,4,7,8.4,4.5,5.433898784722229,133.21873999998206
2018,4,8,32.4,4.5,11.788962048611126,285.75
2018,4,9,25.5,4.5,11.743050555555577,285.01563000000897
2018,4,10,22.8,4.5,11.295887847222225,274.46876000001794
2018,4,11,23.1,4.5,11.429437102473504,274.4375
2018,4,12,27.9,4.5,11.766788229166675,285.5
2018,4,13,21.6,5.4,10.86203829861112,263.51561999999103
2018,4,14,8.1,5.4,6.139658993055551,150.10938000000897
2018,4,15,15.6,5.4,9.092217832167838,221.65623999998206
2018,4,16,25.5,5.4,11.082455312500004,268.9375
2018,4,17,24.6,5.1,10.66569379310346,278.21875
2018,4,18,27.3,5.4,11.790299965156809,286.23436999999103
2018,4,19,25.2,5.7,12.328008954703835,299.23438000000897
2018,4,20,28.5,5.7,12.822309027777774,310.0
2018,4,21,8.1,6.0,6.584809027777772,161.0
2018,4,22,15.9,5.4,8.99461805555555,219.0
2018,4,23,21.6,5.4,11.211718750000003,272.0
2018,4,24,24.0,5.1,11.580729166666668,281.0
2018,4,25,22.5,5.4,11.893229166666673,288.0
2018,4,26,27.9,5.4,12.617361111111126,306.0
2018,4,27,26.1,5.7,13.527951388888887,328.0
2018,4,28,27.3,6.0,13.848697916666666,335.0
2018,4,29,19.8,7.2,10.99001736111112,267.0
2018,4,30,9.0,5.7,6.846614583333337,167.0
2018,5,1,15.0,6.3,9.21492537313432,104.0
2018,5,2,24.6,5.4,11.57500000000001,281.0
2018,5,3,27.3,5.1,12.667447916666658,306.0
2018,5,4,25.5,6.0,12.696788194444435,308.0
2018,5,5,8.1,5.7,6.560104529616726,160.0
2018,5,6,21.9,5.4,10.620731707317079,257.0
2018,5,7,29.4,5.7,13.304253472222214,322.0
2018,5,8,27.3,5.4,12.38003472222222,301.0
2018,5,9,25.2,5.4,12.35434027777778,300.0
2018,5,10,31.5,5.1,13.335156249999999,324.0
2018,5,11,28.8,5.4,13.221440972222231,320.0
2018,5,12,9.0,5.4,6.681510416666677,163.0
2018,5,13,22.8,5.1,11.09322916666666,269.0
2018,5,14,33.6,5.4,14.7236111111111,356.0
2018,5,30,6.6,6.6,6.6,0.0
2018,6,21,35.3,0.0,19.37129548611109,15042.0
2018,6,22,35.8,7.7,19.581392361111114,469.90000000000146
2018,6,23,38.6,7.8,20.03948576388889,482.10000000000036
2018,6,24,42.6,9.0,22.305346527777782,535.5
2018,6,25,42.9,8.9,24.02337534722222,577.9000000000015
2018,6,26,44.0,8.8,22.863079166666676,549.0
2018,6,27,40.4,11.1,23.027546875,555.5
2018,6,28,47.6,11.1,26.34528263888889,632.4000000000015
2018,6,29,49.7,12.3,26.954282638888877,647.2000000000007
2018,6,30,39.7,9.9,22.145890277777756,529.9000000000015
2018,7,1,41.5,8.8,21.979572916666672,525.7999999999993
2018,7,2,42.1,8.6,25.615135069444445,616.2000000000007
2018,7,3,47.6,13.1,29.159375000000004,701.3000000000029
2018,7,4,43.6,12.2,27.688079166666675,666.0
2018,7,5,48.5,14.0,28.43987361111109,681.7000000000007
2018,7,6,49.6,12.8,28.72783437500001,690.2000000000007
2018,7,7,41.5,11.2,22.656886805555555,544.7999999999993
2018,7,8,40.8,10.8,22.172163888888893,532.0
2018,7,9,47.9,10.2,28.025578819444462,672.7000000000007
2018,7,10,51.8,13.3,28.68240763888889,689.2000000000007
2018,7,11,44.0,12.9,26.661689236111105,639.3000000000029
2018,7,12,48.4,12.0,27.709346180555553,665.2999999999993
2018,7,13,46.6,12.9,26.75422395833333,642.7999999999993
2018,7,14,49.4,12.3,28.134403125000013,674.7000000000007
2018,7,15,43.8,11.7,25.461313888888885,612.8999999999978
2018,7,16,52.9,10.6,27.67091805555555,662.9000000000015
2018,7,17,47.4,13.5,27.70943229166666,664.6999999999971
2018,7,18,49.1,11.0,28.47595520833336,684.0
2018,7,19,48.5,11.2,28.5834784722222,685.0
2018,7,20,49.1,13.3,27.980815972222203,671.3000000000029
2018,7,21,45.3,10.7,23.431511458333336,561.7999999999956
2018,7,22,42.9,9.7,24.5158,589.0
2018,7,23,52.8,11.2,30.248148958333314,726.3000000000029
2018,7,24,52.5,11.4,29.58151215277778,710.7999999999956
2018,7,25,47.6,12.4,28.81903958333333,691.2999999999956
2018,7,26,45.3,11.2,26.892532291666658,646.8000000000029
2018,7,27,43.8,11.0,28.02065798611112,672.7000000000044
2018,7,28,49.3,11.0,29.647626388888884,711.5999999999985
2018,7,29,47.2,10.9,26.00130208333335,624.9000000000015
2018,7,30,48.5,10.1,30.7037013888889,736.8000000000029
2018,7,31,52.1,12.0,30.048031944444453,721.5
2018,8,1,54.0,11.3,29.69476388888889,713.5999999999985
2018,8,2,51.9,11.9,30.368838541666662,728.3000000000029
2018,8,3,44.6,11.6,26.91125590277779,648.6999999999971
2018,8,4,43.6,12.2,26.723207638888894,641.2999999999956
2018,8,5,40.7,9.9,23.619849305555555,568.9000000000015
2018,8,6,50.1,10.4,28.831510416666656,691.9000000000015
2018,8,7,48.4,14.8,29.557753472222227,710.7999999999956
2018,8,8,46.9,10.8,26.77589618055555,643.1999999999971
2018,8,9,43.6,11.4,25.98287118055556,622.1999999999971
2018,8,10,45.0,10.4,26.499594791666667,638.0
2018,8,11,36.0,11.2,22.769615972222212,546.9000000000015
2018,8,12,35.0,9.1,20.891638888888888,502.70000000000437
2018,8,13,48.0,11.6,27.374712499999987,656.8000000000029
2018,8,14,47.1,11.5,26.681741319444445,641.0999999999985
2018,8,15,52.2,10.8,27.403126736111123,657.8000000000029
2018,8,16,41.6,12.2,25.338308680555535,607.2000000000044
2018,8,17,46.4,12.3,25.36548125,609.2999999999956
2018,8,18,41.0,11.2,23.704426736111095,567.8999999999942
2018,8,19,35.9,10.3,22.525637152777783,540.7000000000044
2018,8,20,46.2,9.9,25.706540625000013,616.3999999999942
2018,8,21,48.3,10.9,26.576186805555555,638.6999999999971
2018,8,22,46.6,11.2,24.86061979166668,597.6999999999971
2018,8,23,43.5,10.5,24.49551493055555,590.5999999999985
2018,8,24,41.0,11.4,24.044792361111107,577.9000000000015
2018,8,25,39.6,11.6,24.061603125000012,578.5999999999985
2018,8,26,36.5,10.7,21.610162717770027,519.5999999999985
2018,8,27,46.9,10.4,27.537527777777797,663.0
2018,8,28,47.2,12.9,27.37963194444444,654.7999999999956
2018,8,29,42.5,10.9,26.795486111111117,643.3999999999942
2018,8,30,43.1,11.0,25.853212152777772,620.7999999999956
2018,8,31,50.1,12.5,27.28087222222221,655.5999999999985
