S_Year,S_Month,S_DAY,P_MAX,P_MIN,P_AVG,YL_MAX
2017,11,9,12.6,0.1,4.147898286713285,100.32031000000279
2017,11,10,12.5,0.1,4.08375748251748,97.95117000000027
2017,11,11,9.0,0.1,1.8345202777777816,45.1601499999997
2017,11,12,5.4,0.1,1.0714403886925803,26.349609999997483
2017,11,13,14.8,0.1,3.8446570486111065,93.41992000000027
2017,11,14,13.9,0.1,3.884077317073171,94.43945000000167
2017,11,15,12.3,0.1,3.5945170445344155,108.71094000000085
2017,11,16,14.0,0.1,4.436743052631575,106.25
2017,11,17,14.0,0.1,3.8819386411149823,93.98047000000224
2017,11,18,9.9,0.1,2.152394687500004,52.740239999999176
2017,11,19,0.3,0.1,0.14975085409252714,4.451180000000022
2017,11,20,14.2,0.1,4.611794055944051,111.03905999999915
2017,11,21,14.0,0.1,4.367567500000003,105.66992000000027
2017,11,22,13.7,0.1,5.620079722222223,136.70117000000027
2017,11,23,12.7,0.1,3.8700848601398596,93.0195300000014
2017,11,24,7.9,0.1,2.165698385964916,52.210940000000846
2017,11,25,10.0,0.1,3.3345188721804524,74.75976000000082
2017,11,26,5.4,0.1,1.4581544055944067,17.890629999998055
2017,11,27,11.7,0.1,3.365176458333331,81.75
2017,11,28,10.9,0.1,2.9183369791666665,71.0
2017,11,29,10.6,0.1,2.6109186111111153,64.09961000000112
2017,11,30,11.2,0.1,2.8566992708333325,69.66015999999945
2017,12,1,11.8,0.1,2.7079547857142896,64.9101499999997
2017,12,2,9.0,0.1,2.56253965277778,63.699219999998604
2017,12,3,3.3,0.1,0.3720878472222217,10.308600000000297
2017,12,4,8.0,0.1,1.5964327430555565,39.58984000000055
2017,12,5,11.3,0.1,2.6686513286713307,64.88867000000027
2017,12,6,9.1,0.0,2.532113958333331,61.86913999999888
2017,12,7,10.1,0.0,3.0962634027777765,75.96094000000085
2017,12,8,10.4,0.0,3.3752418749999995,82.33984000000055
2017,12,9,11.2,0.0,2.934249965277779,71.93163999999888
2017,12,10,11.2,0.0,2.716300104166666,66.16992000000027
2017,12,11,12.1,0.0,3.746216701388888,91.08007999999973
2017,12,12,12.7,0.0,3.9158158333333315,95.0
2017,12,13,14.0,0.0,4.066048298611111,98.65038999999888
2017,12,14,10.2,0.0,2.8108529166666645,68.69140999999945
2017,12,15,8.7,0.0,2.7662117361111145,67.5898500000003
2017,12,16,7.6,0.1,1.508756597222223,37.16993000000002
2017,12,17,8.7,0.1,1.3180930575539584,31.599609999997483
2017,12,18,8.3,0.0,2.137470416666666,52.261719999998604
2017,12,19,8.2,0.0,2.656113797909408,64.8984300000011
2017,12,20,8.9,0.0,2.318493437500002,56.919920000000275
2017,12,21,10.1,0.0,3.4723272569444457,84.34960999999748
2017,12,22,8.2,0.0,1.8861347386759604,46.45897999999943
2017,12,23,6.9,0.1,1.9831914583333357,48.759760000000824
2017,12,24,3.2,0.1,0.45411667844522935,11.878899999999703
2017,12,25,7.2,0.1,2.1155638194444455,51.69140999999945
2017,12,26,10.4,0.1,2.6322550000000002,64.25
2017,12,27,9.5,0.1,2.7056643402777794,65.5195300000014
2017,12,28,8.0,0.0,2.342216840277777,57.24022999999943
2017,12,29,9.0,0.0,2.830655212765958,71.16015999999945
2017,12,30,0.4,0.1,0.24836145833333345,6.509759999997186
2017,12,31,1.6,0.1,0.30748767025089646,7.919920000000275
2018,1,1,1.2,0.1,0.2807604513888889,7.419930000000022
2018,1,2,8.7,0.0,2.1032765277777785,51.960940000000846
2018,1,3,10.3,0.1,2.829534965277782,69.77148999999918
2018,1,4,9.4,0.1,2.2886260069444466,56.259760000000824
2018,1,5,9.3,0.1,2.5261636458333387,62.18945000000167
2018,1,6,9.7,0.1,2.563388641114985,62.4296800000011
2018,1,7,5.6,0.1,0.6372052097902084,16.230469999998604
2018,1,8,10.1,0.1,2.7888400348432096,67.86913999999888
2018,1,9,10.1,0.1,2.6903152112676074,64.33007999999973
2018,1,10,8.7,0.1,2.9379092361111097,71.40038999999888
2018,1,11,8.6,0.2,2.5425730208333315,62.34961000000112
2018,1,12,10.5,0.0,2.568043055555555,63.46875
2018,1,13,2.0,0.0,0.3298551736111106,9.33984000000055
2018,1,14,15.2,0.0,0.5390889045936398,13.53125
2018,1,15,24.2,0.1,6.8175254166666654,164.25976000000082
2018,1,16,23.1,0.1,8.105595625,195.7695300000014
2018,1,17,22.9,0.1,8.934752743055554,216.04102000000057
2018,1,18,40.9,0.1,9.612432986111115,231.27928999999858
2018,1,19,22.9,0.2,10.45131836805557,251.6288999999997
2018,1,20,14.9,0.1,4.130063715277771,100.14061999999831
2018,1,21,0.6,0.1,0.15323770609319046,4.939449999998033
2018,1,22,34.1,0.1,7.147828013937275,173.20118000000002
2018,1,23,32.3,0.1,4.223422055749128,103.07030999999915
2018,1,24,27.5,0.0,7.7004086666666645,188.3788999999997
2018,1,25,21.3,0.1,6.4978334351145035,170.4589900000028
2018,1,26,16.0,0.1,1.9304264930555608,48.070309999999154
2018,1,27,2.9,0.1,0.2679189399293286,7.390619999998307
2018,1,28,4.1,0.1,0.4418377142857137,11.330079999999725
2018,1,29,22.8,0.1,9.491922986111119,228.23045999999886
2018,1,30,22.0,0.1,7.171246701388879,173.77930000000197
2018,1,31,20.3,0.1,6.532385763888888,157.58007999999973
2018,2,1,20.8,0.1,6.499283402777772,157.5117199999986
2018,2,2,22.0,0.1,8.760375243055561,211.18945000000167
2018,2,3,19.7,0.1,8.137442482517475,195.53125
2018,2,4,5.6,0.1,0.22904580882352998,6.029299999998329
2018,2,5,18.8,0.1,6.1533732291666645,149.30079000000114
2018,2,6,21.4,0.1,6.205438368055553,150.3007800000014
2018,2,7,21.8,0.1,7.940868819444431,191.16992000000027
2018,2,8,17.8,0.1,5.167845769230767,124.75976000000082
2018,2,9,17.1,0.1,4.923550347222226,118.79881999999998
2018,2,10,11.0,0.1,0.9250917708333338,23.330079999999725
