S_Year,S_Month,S_DAY,P_MAX,P_MIN,P_AVG,YL_MAX
2017,11,9,45.6,4.6,18.259288571428552,436.45313000000897
2017,11,10,44.2,0.8,17.550404097222206,422.0625
2017,11,11,50.4,0.6,17.922591666666666,427.17188000000897
2017,11,12,46.4,0.6,18.823196423611115,452.35936999999103
2017,11,13,48.6,5.2,18.835377326388894,451.8125
2017,11,14,48.8,4.0,18.74754020833333,451.29686999999103
2017,11,15,40.8,1.6,17.939097651821875,456.3125
2017,11,16,43.0,2.6,18.108244548611104,434.04688000000897
2017,11,17,38.4,0.6,16.788121388888882,404.625
2017,11,18,47.0,1.6,16.059527673611104,382.78123999998206
2017,11,19,46.4,5.2,18.64687198606273,447.09373999998206
2017,11,20,50.0,0.6,19.81590534965034,473.85938000000897
2017,11,21,41.8,2.8,18.8543876736111,454.0
2017,11,22,48.0,2.0,18.131893888888875,433.67188000000897
2017,11,23,38.2,1.8,16.717104375000016,403.29686999999103
2017,11,24,44.2,0.6,18.054717361111116,432.46876000001794
2017,11,25,49.4,2.6,19.05700868913857,421.28123999998206
2017,11,26,46.4,5.2,17.165686083916096,202.95313000000897
2017,11,27,45.2,0.6,16.83723121527777,401.0
2017,11,28,40.0,2.2,14.941579895833335,355.78126000001794
2017,11,29,45.4,0.6,17.733319097222207,423.82811999999103
2017,11,30,39.8,5.0,18.420479826388892,440.60936999999103
2017,12,1,37.8,0.8,16.92652342857144,406.04686999999103
2017,12,2,35.2,0.6,14.965477743055548,357.9375
2017,12,3,42.8,0.6,16.217179895833333,384.8125
2017,12,4,47.8,2.8,16.689509791666662,399.09376000001794
2017,12,5,45.8,0.6,17.42958538194445,418.28126000001794
2017,12,6,47.4,0.8,17.92532836805555,431.89063000000897
2017,12,7,42.0,4.8,19.361101736111106,464.20313000000897
2017,12,8,40.0,3.6,17.625671770833325,423.375
2017,12,9,37.6,4.0,16.22049972222222,390.14061999999103
2017,12,10,50.8,5.0,16.27065642361112,391.40625
2017,12,11,48.4,0.8,16.95998947916668,404.53123999998206
2017,12,12,46.0,4.0,17.818727118055556,429.9375
2017,12,13,42.0,3.6,18.73216937499999,449.3125
2017,12,14,42.2,0.6,17.705737222222226,423.17186999999103
2017,12,15,39.0,0.6,17.88216513888889,428.45311999999103
2017,12,16,47.8,5.0,19.22944909722221,458.65625
2017,12,17,43.0,3.2,18.30202513888888,439.67188000000897
2017,12,18,40.2,1.4,16.06065527777778,386.78125
2017,12,19,47.8,6.4,19.622920034722217,470.64061999999103
2017,12,20,46.6,4.0,17.081228298611133,409.26563000000897
2017,12,21,38.8,2.4,15.392986215277766,369.40625
2017,12,22,52.0,3.2,18.64948815972221,447.0
2017,12,23,46.8,2.2,18.88224090277778,451.9375
2017,12,24,49.2,3.4,19.113801493055544,460.42186999999103
2017,12,25,49.0,5.6,19.69547444444444,471.82811999999103
2017,12,26,40.0,2.6,20.13784916666667,482.4375
2017,12,27,44.6,4.0,17.62315121527778,422.65625
2017,12,28,43.8,6.0,17.48576100694443,419.51561999999103
2017,12,29,40.8,2.0,16.900754306049826,406.5
2017,12,30,52.2,1.6,20.35760138888888,485.92188000000897
2017,12,31,52.4,4.2,20.67342840277778,495.4375
2018,1,1,49.0,2.8,20.81745618055555,498.25
2018,1,2,46.8,3.8,19.749405347222226,475.14063000000897
2018,1,3,42.0,3.0,18.85698996527777,452.46875
2018,1,4,41.2,6.4,17.785728437499987,427.71875
2018,1,5,42.8,6.0,17.516693958333327,419.5
2018,1,6,45.4,4.4,19.987352986111116,477.26563000000897
2018,1,7,42.6,4.0,18.996966875000016,455.375
2018,1,8,43.4,3.0,18.492544930555574,444.5
2018,1,9,47.4,4.0,20.178877013888886,483.46875
2018,1,10,45.0,3.8,19.861828020833336,474.9375
2018,1,11,39.8,1.8,17.975203576388875,430.67188000000897
2018,1,12,46.4,6.6,19.942447256944426,477.40626000001794
2018,1,13,49.4,1.8,19.21362586805555,457.6875
2018,1,14,42.4,1.8,18.3986142361111,441.57813000000897
2018,1,15,48.2,1.8,20.04422753472222,478.51563000000897
2018,1,16,39.8,6.2,18.763770798611123,452.71873999998206
2018,1,17,37.8,1.4,16.163434999999986,387.40625
2018,1,18,43.6,1.8,19.20019333333333,459.51561999999103
2018,1,19,42.4,1.8,19.856759687500002,475.39063000000897
2018,1,20,45.6,3.8,19.82050024305556,474.34376000001794
2018,1,21,41.2,3.8,19.99323843750001,478.4375
2018,1,22,43.4,4.2,20.097182717770043,482.14063000000897
2018,1,23,42.0,3.8,16.943291184668983,405.875
2018,1,24,43.0,1.8,20.471028070175432,493.95311999999103
2018,1,25,41.4,4.0,20.87698034351145,489.57811999999103
2018,1,26,45.4,4.6,20.69579791666666,496.625
2018,1,27,47.6,2.0,17.730756180555556,422.98436999999103
2018,1,28,46.6,1.8,20.023573437499994,478.875
2018,1,29,41.8,1.8,17.63393493055556,422.4375
2018,1,30,52.6,6.4,19.714595729166668,470.5625
2018,1,31,50.6,4.0,21.12802229166666,506.76561999999103
2018,2,1,47.8,4.8,21.189286423611108,507.67186999999103
2018,2,2,43.6,3.4,20.050468506944444,481.78126000001794
2018,2,3,40.6,3.8,17.692057847222245,426.67186999999103
2018,2,4,49.8,3.8,19.43967107638888,463.89061999999103
2018,2,5,55.2,2.2,19.36807131944444,462.34375
2018,2,6,43.8,2.2,16.46972548611111,394.89061999999103
2018,2,7,45.6,1.6,18.724235069444454,448.0
2018,2,8,43.2,4.2,17.404842187499995,415.64063000000897
2018,2,9,46.0,5.6,19.838788715277772,476.96875
2018,2,10,50.2,3.6,18.608866527777792,446.48436999999103
2018,2,11,42.4,3.2,17.025647762237767,406.5625
2018,2,12,42.8,5.0,14.021021805555556,336.45313000000897
2018,2,13,35.8,2.2,13.572933854166669,325.28125
2018,2,14,43.0,1.4,14.399101111111113,343.28125
2018,2,15,33.6,2.6,14.73154104166667,351.73436999999103
2018,2,16,33.4,2.6,14.559682986111117,347.92188000000897
2018,2,17,40.2,4.0,15.282728784722224,363.14061999999103
2018,2,18,33.6,2.6,14.508660208333332,347.29686999999103
2018,2,19,36.0,7.0,14.63716746527779,349.40626000001794
2018,2,20,34.8,2.6,13.799888888888894,328.54686999999103
2018,2,21,35.6,2.6,13.835690729166663,330.46875
2018,2,22,38.2,0.6,14.959704895833324,357.92188000000897
2018,2,23,36.0,3.4,15.195104583333338,364.35936999999103
2018,2,24,38.4,4.0,13.839091180555561,330.07813000000897
2018,2,25,43.0,5.6,16.763082256944447,399.59375
2018,2,26,37.6,3.0,16.434015555555558,395.15623999998206
2018,2,27,43.4,1.4,15.941844166666673,380.90625
2018,2,28,46.0,1.4,15.672896805555556,375.96875
2018,3,1,50.4,1.6,17.168619409722226,410.640699999989
2018,3,2,40.4,1.6,16.574186493055553,397.03120000002673
2018,3,3,42.2,1.6,15.500391493055556,370.51559999998426
2018,3,4,43.2,4.8,18.465081909722226,444.21870000002673
2018,3,5,42.2,4.0,17.14216555555556,408.515699999989
2018,3,6,44.6,4.4,16.30302496527777,388.95310000001336
2018,3,7,52.8,5.0,21.328567569444445,510.921800000011
2018,3,8,40.2,5.0,18.66341104166667,446.125
2018,3,9,47.6,4.4,20.948828671328663,500.4686999999976
2018,3,10,44.4,1.6,18.861653159722223,451.51560000001336
2018,3,11,49.2,1.6,17.990823611111104,429.0625
2018,3,12,46.4,1.6,16.05457375,382.15620000002673
2018,3,13,44.8,4.0,18.487974652777794,444.203199999989
2018,3,14,34.8,0.8,15.088589097222211,363.4375
2018,3,15,42.4,1.4,14.931013680555553,354.6875
2018,3,16,42.2,1.8,17.100638437500002,410.20310000001336
2018,3,17,47.8,4.0,17.309328750000002,412.375
2018,3,18,47.2,3.6,18.42339465277778,440.8436999999976
2018,3,19,39.4,1.6,15.490699236111103,370.20309999998426
2018,3,20,42.4,1.4,18.276831433566425,433.609300000011
2018,3,21,43.8,0.6,18.064768923611123,431.95309999998426
2018,3,22,39.2,0.6,14.933886180555552,357.0
2018,3,23,45.8,0.6,15.237230104895115,361.10939999998664
2018,3,24,37.6,0.6,17.534554736842093,419.40629999997327
2018,3,25,42.4,0.6,18.200873888888896,436.92189999998664
2018,3,26,35.0,0.8,16.765591979166654,402.90629999997327
2018,3,27,37.4,5.8,19.048169861111106,457.71879999997327
2018,3,28,40.0,0.6,17.24818628472223,414.76559999998426
2018,3,29,39.6,1.6,16.692754305555553,399.0311999999976
2018,3,30,39.0,1.0,16.464158472222227,396.5625
2018,3,31,36.6,0.6,16.666834618055553,399.515699999989
2018,4,1,40.0,6.0,18.993745347222216,453.76561999999103
2018,4,2,38.4,6.4,18.984560069444434,452.67188000000897
2018,4,3,40.0,2.0,18.08663229166668,432.0
2018,4,4,40.0,0.6,18.634249722222226,447.875
2018,4,5,44.6,3.0,19.00847197916666,455.40626000001794
2018,4,6,42.2,1.6,17.250072291666683,413.60938000000897
2018,4,7,38.4,3.4,16.486789062500005,394.51563000000897
2018,4,8,40.0,1.6,18.10734520833335,434.1875
2018,4,9,37.6,0.8,16.942414861111118,406.0625
2018,4,10,39.0,0.8,18.275768888888887,438.375
2018,4,11,40.6,0.8,18.66708805555555,447.125
2018,4,12,39.6,2.2,17.96424743055556,427.96875
2018,4,13,42.2,6.0,18.649007499999996,447.0
2018,4,14,41.0,6.2,17.543339652777785,420.98436999999103
2018,4,15,40.4,1.4,16.837267560975615,404.125
2018,4,16,38.6,6.2,18.014213229166675,433.14063000000897
2018,4,17,39.0,1.2,18.898020498084296,460.35938000000897
2018,4,18,43.0,2.0,20.029320313588837,479.75
2018,4,19,42.2,2.4,19.99395595818816,478.35938000000897
2018,4,20,40.8,6.2,20.145717708333336,487.0
2018,4,21,39.2,6.4,18.97332256944445,455.0
2018,4,22,36.8,1.0,17.417128472222224,422.0
2018,4,23,38.4,0.8,17.269387152777785,415.0
2018,4,24,39.0,1.8,17.06012604166667,410.0
2018,4,25,40.8,1.2,19.364063541666667,465.0
2018,4,26,42.2,0.6,19.749075347222217,474.0
2018,4,27,37.4,6.2,19.9939236111111,482.0
2018,4,28,41.2,6.4,20.94276701388889,501.0
2018,4,29,40.4,2.4,21.364408680555556,516.0
2018,4,30,45.2,2.4,20.20057777777778,483.0
2018,5,1,39.6,1.0,17.12686567164178,191.0
2018,5,2,37.6,0.6,17.254572222222237,415.0
2018,5,3,42.0,6.8,21.38784722222222,516.0
2018,5,4,50.4,6.6,23.348609722222207,561.0
2018,5,5,44.4,2.2,26.278570383275266,634.0
2018,5,6,41.0,1.6,23.538792334494765,567.0
2018,5,7,45.6,3.0,23.693924305555566,566.0
2018,5,8,41.2,6.8,22.920136805555554,548.0
2018,5,9,43.8,2.0,21.332581944444442,512.0
2018,5,10,39.2,3.0,19.96255868055553,481.0
2018,5,11,40.8,0.6,19.24525451388889,464.0
2018,5,12,39.2,2.0,20.213424305555563,481.0
2018,5,13,40.8,6.6,21.783219791666657,526.0
2018,5,14,48.6,4.8,22.083681250000005,533.0
2018,5,30,15.4,13.0,13.8,0.0
2018,6,21,53.1,0.0,28.8331309027778,20257.3
2018,6,22,53.8,9.5,29.615249305555565,710.0
2018,6,23,52.2,14.5,31.416862499999993,751.9000000000015
2018,6,24,61.3,15.0,34.22581840277776,821.0999999999985
2018,6,25,55.7,3.8,31.130752083333334,746.1999999999971
2018,6,26,49.1,7.7,29.437588541666646,704.7000000000007
2018,6,27,55.0,9.0,29.65248923611112,710.0999999999985
2018,6,28,53.3,15.5,31.533159374999986,755.9000000000015
2018,6,29,55.8,3.7,31.967072569444447,762.0
2018,6,30,52.2,18.3,32.42691041666666,776.1000000000022
2018,7,1,48.3,13.3,29.03993229166666,693.2999999999993
2018,7,2,46.5,12.7,29.32410277777778,704.2999999999993
2018,7,3,45.1,8.9,29.338050694444423,703.7000000000007
2018,7,4,52.6,16.3,31.55836111111112,757.8000000000029
